"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
45,"B_p160","quadratic",1,0,2.22088754949286e-08,1.01324076772284e-05,0,0.103262698616459,TRUE,0.00120939011926025,0.00627817789312513,0.606219786858979
46,"B_p160","quadratic",1,0,2.29603216042787e-10,1.11044200041063e-07,0,0.265898115011484,FALSE,NA,NA,0.135441847524115
47,"B_p160","quadratic",1,0,1.11462703802286e-09,5.23889588675413e-07,0,0.56971054338366,FALSE,NA,NA,1
48,"B_p160","quadratic",1,0,7.30357608783497e-08,1.37395300730007e-05,0,0.258148379552544,TRUE,0.358941054940182,0.81605649009446,0.48802367138845
49,"B_p160","quadratic",1,0,1.50768107490852e-08,6.98492317724924e-08,0,0.00230246894940609,FALSE,NA,NA,0.35225183076128
50,"B_p160","quadratic",1,0,2.87703706157659e-09,1.61340367542949e-07,0,0.413628892413226,FALSE,NA,NA,0.0516347617372133
51,"B_p160","quadratic",1,0,6.44440866373092e-09,1.13253233256725e-06,0,0.659285284147722,FALSE,NA,NA,0.132879491038278
52,"B_p160","quadratic",1,0,7.75127078652572e-10,1.97747425228658e-07,0,0.0319121587733882,FALSE,NA,NA,0.400905514621481
53,"B_p160","quadratic",1,0,2.35726107694686e-10,1.44526367094499e-07,0,0.113710391280112,FALSE,NA,NA,0.632637290373026
54,"B_p160","quadratic",1,0,5.78269500375821e-10,6.29623322039259e-06,0,0.125962499300822,FALSE,NA,NA,0.701489413789826
55,"B_p160","quadratic",1,0,2.43389669226192e-11,2.09660444043403e-05,0,0.145008236533857,FALSE,NA,NA,0.162062418498613
56,"B_p160","quadratic",1,0,2.69217844910595e-09,1.20223056338329e-08,0,0.0777300100807804,FALSE,NA,NA,0.49458152854632
57,"B_p160","quadratic",1,0,1.46853710498505e-10,5.7895098783178e-06,0,0.354048056223469,FALSE,NA,NA,0.820378205615518
58,"B_p160","quadratic",1,0,4.86851506380291e-08,1.87420308526731e-07,0,0.000612731278421183,FALSE,NA,NA,0.365686681781558
59,"B_p160","quadratic",1,0,2.84950540747379e-10,5.60431927536176e-08,0,0.0725585144232157,FALSE,NA,NA,1
60,"B_p160","quadratic",1,0,7.2864578149522e-09,4.40625238578866e-05,0,0.0095008158537236,FALSE,NA,NA,0.368512591732756
61,"B_p160","quadratic",1,0,7.42328100938654e-09,1.54162959942325e-07,0,0.0652831506844367,FALSE,NA,NA,1
62,"B_p160","quadratic",1,0,1.17036287494738e-09,1.92908744137049e-07,0,0.0192412135949313,FALSE,NA,NA,0.651677148410467
63,"B_p160","quadratic",1,0,2.14137373055456e-09,1.61201008929788e-06,0,0.40859294424323,FALSE,NA,NA,0.0587079473895
64,"B_p160","quadratic",1,0,3.82427765596018e-09,2.69082067963127e-05,0,0.168021918456229,FALSE,NA,NA,0.67629974258528
65,"B_p160","quadratic",1,0,1.88081526549121e-09,1.88239643847869e-05,0,0.840238722549811,TRUE,0.00309771631144806,0.171436026813883,0.201390665775053
66,"B_p160","quadratic",1,0,6.6734463669971e-09,1.95728704772949e-06,0,0.851089330588194,TRUE,0,0,0.0735052230588775
67,"B_p160","quadratic",1,0,6.47685434605174e-10,2.25184361235843e-05,0,0.409502040852484,FALSE,NA,NA,0.0139927000832649
68,"B_p160","quadratic",1,0,5.58781608118451e-12,4.73460956054587e-07,0,0.0084107779805608,FALSE,NA,NA,0.425970870789258
69,"B_p160","quadratic",1,0,3.88308629149611e-07,5.22311381249386e-05,0,0.139449026374318,TRUE,1.49234543040944e-05,1.42897648798268e-05,0.213165415876198
70,"B_p160","quadratic",1,0,6.24455103195333e-08,1.91427086416793e-07,0,0.00245703585185671,FALSE,NA,NA,0.178697435751083
71,"B_p160","quadratic",1,0,5.56577845794351e-11,5.1409841432231e-07,0,0.430039893187444,FALSE,NA,NA,0.372722482468668
72,"B_p160","quadratic",1,0,8.90210865390443e-10,2.07918751955531e-07,0,0.117765050827401,FALSE,NA,NA,0.663946120548252
73,"B_p160","quadratic",1,0,6.42649204162855e-09,4.3201607280238e-07,0,0.0794119253661108,TRUE,0.124940267984935,0.624327627857734,0.163944306867935
74,"B_p160","quadratic",1,0,9.30768980820492e-08,3.37259760048846e-07,0,0.431763080693254,TRUE,0.060638246408833,0.223153606710836,0.0265503770823527
75,"B_p160","quadratic",1,0,2.50453449017177e-10,4.44567818187808e-06,0,0.400549906421364,FALSE,NA,NA,0.164447664056795
76,"B_p160","quadratic",1,0,3.60422623413273e-10,1.55635371117945e-08,0,0.0479484530120167,FALSE,NA,NA,0.240969876580864
77,"B_p160","quadratic",1,0,1.13981474730554e-08,1.91657315085587e-07,0,0.285506920891031,FALSE,NA,NA,0.274735672852825
