"cell","a_hat","a_or","s_hat","s_or","rho_hat","rho_or"
"B_k25",0.407400151785682,0.390663857351163,0.377267170346904,0.394858662328211,0.728674511355043,0.698942240446702
"B_k40",0.413422594716532,0.388874874320045,0.398747980250457,0.423034976337689,0.714596347673358,0.672342107058143
"H5_k25_ar03",0.191061799066273,0.181472958090052,0.19353688160346,0.202965245162993,0.698364454027794,0.664246917546479
