"rep","case","recal","ece","slope","intercept","brier","mae_true","auc","hl_heldout_p","sc_edge_p","sc_hl_p"
1,"correct","oracle",0.00542928914508363,0.97386437072611,-0.00320089965104784,0.178537681085158,0,0.80865349314465,0.284125851684933,NA,NA
1,"correct","none",0.0614411444767813,1.72365605306209,0.0113520730112645,0.22114243974604,0.180400035537685,0.709661477860155,0.00259585307067296,0.815,0.85
1,"correct","linear",0.0523697233118363,0.770653436317695,0.163222958181924,0.220025552935799,0.163149908001087,0.709661477860155,3.9739730393981e-05,0.815,0.85
1,"correct","flexible",0.0491459962281707,0.763309762628929,0.162173922596539,0.220076748620913,0.163352741302205,0.709661477860155,4.58873266636393e-05,0.815,0.85
1,"index","oracle",0.00806156673185684,1.00266403494086,-0.0285317696879964,0.209414206696714,0,0.712969981926946,0.961449284818336,NA,NA
1,"index","none",0.0321803797583167,1.43402082460926,-0.0733187783101248,0.234496149806003,0.115028313052801,0.645524373619142,0.881776968047731,0.67,0.935
1,"index","linear",0.0439366414422078,0.785245102291235,-0.142127413628581,0.235635259077126,0.126613849377818,0.645524373619142,0.015280084479618,0.67,0.935
1,"index","flexible",0.0503517604116639,0.523032242671758,-0.131761151934133,0.239023186897817,0.132152238710014,0.6347648952673,2.95664966913983e-11,0.67,0.935
1,"offindex","oracle",0.00928083913870727,1.00876389921397,-0.0279138071556254,0.16171190401389,0,0.83702824366122,0.409625704286467,NA,NA
1,"offindex","none",0.062912145969125,1.73708296658759,0.0349373825929575,0.219239296506908,0.206022031873537,0.700311700136968,0.000542696589260702,0.17,0.875
1,"offindex","linear",0.00886219807813106,1.02522115618285,-0.0439708101237866,0.214000094568602,0.187264583348592,0.700311700136968,0.98686394446526,0.17,0.875
1,"offindex","flexible",0.0264995915836058,0.958743037372166,-0.0229188192258123,0.215787633482953,0.190906621891875,0.698777228620483,0.498222560608154,0.17,0.875
2,"correct","oracle",0.00976965140038036,0.974371427563016,-0.00537492192827355,0.179032203890419,0,0.807611032008779,0.51832495254394,NA,NA
2,"correct","none",0.0379169622551742,1.42732176917632,-0.00891002546798454,0.221239739114748,0.177230139530567,0.701100236252987,0.00168629387915242,0.035,0.065
2,"correct","linear",0.0272842344797748,0.840867043487798,0.0794704611680056,0.220221369464842,0.165800115138651,0.701100236252987,0.411186768715563,0.035,0.065
2,"correct","flexible",0.0388675890255736,0.774528903961815,0.0762315474305575,0.221188362622604,0.167613672372896,0.701100236252987,0.222419069355163,0.035,0.065
2,"index","oracle",0.00798717087318579,0.996077487943261,-0.0127957364931046,0.209677232058685,0,0.710694018285427,0.242245604752339,NA,NA
2,"index","none",0.0274995163704488,1.3538077356943,0.0569259909523656,0.233782679283746,0.116925037463551,0.64819573582177,0.627307136685194,0.845,0.315
2,"index","linear",0.0326397146857495,0.76438170614947,0.0223561717426588,0.234033397605247,0.128377014083825,0.64819573582177,0.0292511422248632,0.845,0.315
2,"index","flexible",0.0482539162701839,0.73003765405665,0.019044372350751,0.235559303315734,0.132188849701617,0.64819573582177,0.0753168651532796,0.845,0.315
2,"offindex","oracle",0.00558916089216053,0.99644752019504,-0.0290022891196652,0.163005352508937,0,0.834040563702175,0.966866137945688,NA,NA
2,"offindex","none",0.038114758939769,1.46038573213638,-0.0141836394957107,0.219941295582162,0.205935237758323,0.685583437367264,0.0487374389753908,0.6,0.87
2,"offindex","linear",0.0188303014601331,1.01494964430589,-0.0871723449963212,0.218039081996584,0.195605100551882,0.685583437367264,0.978059798944723,0.6,0.87
