"cell","kappa","hbar","rho","g_dec","g_edge3","g_edge2","share_in_Z3"
"A_n500_p5_lam100",0.01,0.00739438183258739,0.934614586924239,0.0102764256539384,0.0306838650567852,0.00835650882608607,0.697179282317892
"A_n500_p5_lam137",0.01,0.00664661748317704,0.929726500241141,0.0145411804379205,0.0486080585469514,0.0126959446148598,0.773481884007201
"A_n500_p5_lam200",0.01,0.00576380008301218,0.921651897257933,0.0204408326101169,0.0718173866904548,0.0176701641641325,0.806743943813931
"B_n400_p100_lam50",0.25,0.109179097621724,0.705220506942065,0.102192058200434,0.361627417274768,0.00588771559916401,0.978120684436533
"B_n400_p100_lam416",0.25,0.0383211318516867,0.688968700161384,0.0611048307139552,0.246838724882173,0.0325517763985333,0.976841362082493
"B_n400_p100_lam1000",0.25,0.0215894384367908,0.690360135197647,0.077860315457668,0.319382410512336,0.0507901201039632,0.96530251816377
"B_n400_p40_lam416",0.1,0.0172189719070847,0.707479344265744,0.0318730637752207,0.12456294354269,0.0163307095784725,0.904066232197595
"B_n400_p160_lam416",0.4,0.0586418309970749,0.652878913588633,0.110033175859448,0.414845649136391,0.0387072656218475,0.950517813793489
