"rep","cell","grouping","S_dec","S_edge","df_dec","df_edge","p_dec","p_edge","pnc_dec","pnc_edge","delta2_norm2","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10"
1,"A_p5_lam100","fitted",3.89297411577053,1.88229181301306,7.262246573776,1.67436198088728,0.830817989533292,0.324229747178799,0.833337633679488,0.333031209415743,0.0410348764863801,-0.380450793999679,0.303632531194633,0.869037640273834,-0.496470345152396,-0.126822801733575,0.836202914919406,-0.461732566473062,-0.781516452140649,-0.605768543447962,0.864921717376082
1,"A_p5_lam100","heavyx5",4.83428240876688,1.74455415525317,7.26719412381423,1.67488430913212,0.722987572388756,0.352596589873559,0.726464588553383,0.361396590524988,0.0408803185439201,-0.0821249108974249,0.308845822564559,0.572835533179082,-0.2225764172041,-0.403988506323352,0.840753146297495,0.380372349586742,-1.33520866121442,-0.893947413586239,0.870512216039062
1,"A_p5_lam100","heavyx20",5.19769112595317,1.83878732094715,7.2705321905342,1.67480873845478,0.678786840997183,0.332989302472714,0.682569936765797,0.341758674576187,0.0410477554436096,-0.0821249108974249,0.300885915150299,0.575586735307897,-0.222508500780296,-0.399062401721941,1.10521949719475,0.107754739396072,-1.33750492384244,-0.883471112917517,0.870512216039062
1,"A_p5_lam100","heavyx100",5.17693274933219,1.83037661891963,7.27135778285272,1.67487799321647,0.681414396150792,0.334708518096525,0.685172856418273,0.343465675385552,0.0409589991925932,-0.0821249108974249,0.300885915150299,0.575586735307897,-0.225112394765401,-0.396474795087017,1.09515895205828,0.11782484423339,-1.33750492384244,-0.883471112917517,0.870512216039062
1,"A_p5_lam100","pc1",11.7726426786779,5.66917020759952,7.21518698253516,1.84346699939586,0.109556107270671,0.0420632672906073,0.109799457929229,0.0422255422548086,0.00405892514290156,-1.43561338964385,-0.962767957389906,2.15437774568877,0.608230313700354,0.310828533106989,0.965173971472066,0.690857465998436,-1.29262968945078,-0.596755090884464,-0.490896919608209
1,"A_p5_lam100","oracleX",8.33613573538451,1.29683039222981,7.27244929106709,1.6833892284217,0.327673961797667,0.464483043992571,0.331549892902536,0.472296365731847,0.037599860926201,-0.450840970838977,0.906637143568484,0.857012974583234,-0.803732571323963,-0.984584235094108,-0.0322422611078394,0.95013152743364,0.422260299375363,-1.7484700626649,0.906522498454322
2,"A_p5_lam100","fitted",11.6296064799882,1.45272788194814,7.22381290326583,1.65670548176523,0.115837639076576,0.416949906665611,0.119344564631676,0.42961442289775,0.0583094882653724,0.469258008898201,-0.0153511426021569,1.71140815624058,-1.63436549275785,-1.53319778557483,1.3793110116865,-0.483754588924376,-0.814833595322394,0.251738449950063,0.771077459224178
2,"A_p5_lam100","heavyx5",9.72853640872498,1.72190008800565,7.21258999549774,1.65470789150282,0.213387706415675,0.352968393562851,0.218373446422752,0.365537808998801,0.0577337464532274,0.756995385777856,-0.296354957073672,1.70232141422337,-1.63438182351293,-0.970952044928374,0.811428337701719,-0.188744069767353,-1.0946789536926,0.246910881981791,0.776202841887434
2,"A_p5_lam100","heavyx20",9.8106101239957,2.47243941417928,7.20997938322668,1.65824105181776,0.207807391680526,0.223210776917068,0.212826489022167,0.234644536514624,0.0588444150732885,0.748076565710985,-0.0023541073185529,1.42090816804197,-1.92735468661337,-0.678437824252186,0.800067555304477,-0.18106353219004,-1.09085130226304,-0.04930960524519,1.09167391928868
2,"A_p5_lam100","heavyx100",9.45414389185819,2.51051164770797,7.21140590033469,1.65745765392697,0.231939360594829,0.217897031866381,0.237200894245415,0.229156228109069,0.0583857931819377,0.745478225040508,-0.0053136691280975,1.42630601578166,-1.92735468661337,-0.678437824252186,0.800067555304477,-0.476941606633645,-0.792016590933431,-0.04930960524519,1.09167391928868
2,"A_p5_lam100","pc1",6.02612458014982,0.121037392709529,7.17476724170199,1.79156493674511,0.567788889231083,0.95552721566326,0.568396928513758,0.955675738886211,0.00580031734882008,0.104721912393083,0.0963391463323475,0.403965984216001,-0.827612311917189,-0.453962854990324,0.502083105514123,0.00430762567146548,1.49107586116512,-1.55632787750484,0.232581286042892
2,"A_p5_lam100","oracleX",6.95028079192302,1.81910251384702,7.21234354806888,1.66700357581438,0.462006460462225,0.335239176286763,0.467714386734683,0.346455941848802,0.0517621107550949,0.348737747055677,1.0494249773365,0.300281276414713,-1.63475294151716,-0.542154913916839,0.138336963205177,0.529278023145544,-1.24538219981067,0.320332154249333,0.847343002195941
3,"A_p5_lam100","fitted",4.48211065499361,0.570265178925997,7.53073371226065,1.8196351193897,0.783973924466126,0.740389915420045,0.784420966132819,0.741364688131168,0.00603468878292436,0.238250068019452,-1.0652394934255,-0.494638738930835,-0.0162252509119649,0.504233389787487,0.146402853212743,0.694770563793124,0.717062562114816,-1.23195473177969,0.505370377694238
3,"A_p5_lam100","heavyx5",3.61537510806093,1.09777273465985,7.55703258855466,1.81880828656781,0.873716013817314,0.551028526064058,0.874010764958179,0.552121927307856,0.00551965014364565,0.238250068019452,-1.0652394934255,-0.510973125063714,-0.0153404252797748,0.795510866414442,0.133507620181754,0.127482258320569,1.02178510615242,-0.668103502047035,-0.0723002738038703
3,"A_p5_lam100","heavyx20",3.26918247174091,1.15026185960001,7.54921546572156,1.81768353156541,0.903269731845598,0.534880337664056,0.903504771717471,0.535944987147699,0.00531176447663861,0.233517446179654,-1.06864743820106,-0.801830176629834,0.282142729784873,0.786399060728801,0.133383180583078,0.126560490413628,0.740864511770666,-0.380341494696089,-0.0658527453648605
3,"A_p5_lam100","heavyx100",2.61989401313034,1.16840055015218,7.55046292192718,1.81830166127875,0.948761131858349,0.529603066960855,0.948904812829252,0.530659872004605,0.00516739751679432,0.233517446179654,-1.06864743820106,-0.524497715920028,0.0059935935624103,0.497469931672333,0.42243890558967,0.119810870963705,0.747623332823806,-0.380341494696089,-0.0658527453648605
3,"A_p5_lam100","pc1",8.69195630514536,0.988270338464735,7.52533750706458,1.87662502776455,0.322071078612497,0.596380660225722,0.322263534640081,0.596472185382186,0.00195982286595716,0.214092235450707,-0.0584124909634658,-0.719511540826719,0.500027086092723,1.20262320896346,-0.722127157707018,1.13503712837575,-1.73578289761943,-0.796358589036276,0.985787040454627
3,"A_p5_lam100","oracleX",5.76307272856279,2.81857976330144,7.53965146949478,1.81688292846912,0.635066990193175,0.209868908300451,0.635463035749089,0.210479513033974,0.00405316531389356,0.146619031792425,-1.15432639582735,-0.222808442151303,-0.577896253445269,-0.0122887838955897,1.33876660170628,-0.329354221825378,1.35883658460728,-0.0474010205418063,-0.52525567720083
4,"A_p5_lam100","fitted",17.114810805694,0.823920745307426,7.2407236217494,1.66684881142249,0.0154341822662269,0.614907524479875,0.0160030331635317,0.623079045893192,0.0439560448574921,-0.0473090474667606,0.873872131818616,-1.0434219840903,-0.248340449703647,0.503610250607362,-1.94811027456769,2.71659060282643,-1.715730961629,0.0779338948948232,0.905588144073728
4,"A_p5_lam100","heavyx5",20.8281518458125,0.857004682672492,7.25004764856099,1.66773470399731,0.00343989999623884,0.602805551413083,0.00359979591728388,0.61108039080012,0.0445652631127887,-0.0473090474667606,0.873872131818616,-0.492358048570778,-0.554981479738055,-0.0312082670535281,-1.94996120947683,3.29605962857762,-2.00088056288192,0.0695038109027217,0.914414976934267
4,"A_p5_lam100","heavyx20",18.3740220653836,0.890302305622585,7.24822312865518,1.66737798309662,0.00940167682785154,0.590680866847872,0.00978209261695195,0.599148503791393,0.044557726524424,-0.0473090474667606,0.847436635616116,-0.766867235207229,0.27061559645934,-0.556909581766026,-1.67755182979411,3.00714236024591,-1.99562984165524,0.0799380816959583,0.914414976934267
4,"A_p5_lam100","heavyx100",18.3890181506352,0.970001596298606,7.25512527490059,1.66919283265458,0.00940990929364638,0.563038578712821,0.00978222458642619,0.57153939381384,0.043671339978039,0.246855758360024,0.567909617543787,-0.773031293836869,0.560433743752087,-1.14453489104769,-1.37613059395715,3.01032645193119,-1.99562984165524,0.0781898107067582,0.916232886368709
4,"A_p5_lam100","pc1",6.15330711154568,0.528906595982844,7.22725180300195,1.73775477566592,0.55741621109676,0.747356080987503,0.558795902617886,0.749461932395144,0.0128369646401014,0.0568659797778202,0.838225397438546,0.71985598672839,-1.7945339933516,0.250381389262471,-0.579678437731975,0.554275292933962,-0.818973437841901,0.397764226232241,0.417173533289563
4,"A_p5_lam100","oracleX",10.4141768603618,0.493597609374582,7.20747104215195,1.67035378405489,0.171629741348728,0.752987331818173,0.174375173429686,0.758821300413167,0.0360805084503148,0.489661828144859,0.25777464852022,-1.41375414050168,1.17865715809319,-0.88845044793086,-1.06056095912079,1.9032356042267,-0.281248231649265,-0.801895627148596,0.679301290009156
5,"A_p5_lam100","fitted",1.0291517793521,0.132398217976977,7.48197598393709,1.77290174714213,0.997669619955067,0.938654616444383,0.997687795512379,0.93943248658514,0.0105024941815886,0.25299034076304,-0.162666602037635,0.29558699460686,0.0402271208351666,-0.323238901358174,-0.039264940281038,-0.560807382831335,0.183045160640517,0.57538697199754,-0.254148792796208
5,"A_p5_lam100","heavyx5",0.876887924253022,0.12064639340253,7.48008453710348,1.77326422544776,0.998705988015568,0.944844703827047,0.998717196222732,0.945611354698086,0.010559615204891,0.25299034076304,-0.165891113208633,0.579701901182315,-0.240190471242838,-0.323238901358174,-0.327750067126584,0.00866108871571802,0.187267394901097,0.282805585515036,-0.254148792796208
5,"A_p5_lam100","heavyx20",1.07296293790999,0.11057334008771,7.47953270501438,1.77375693442993,0.997284192054001,0.950144905133397,0.997305901639304,0.950882751877685,0.0107472029755459,0.25299034076304,-0.165891113208633,0.575244158660438,0.0412711293024732,-0.600680578178287,-0.327750067126584,0.00625717935866621,0.189691306833646,0.282805585515036,-0.254148792796208
5,"A_p5_lam100","heavyx100",1.07683431561437,0.110698773366242,7.48260882410041,1.7739126278787,0.997252496694487,0.950080435198187,0.997274406204103,0.950818195903433,0.0107444602906601,0.25299034076304,-0.165891113208633,0.575244158660438,0.0412711293024732,-0.600680578178287,-0.333447619750267,0.0119716908691265,0.189691306833646,0.282805585515036,-0.254148792796208
5,"A_p5_lam100","pc1",6.06354248812241,0.889720136406269,7.45223703922202,1.79214668283827,0.590716572669001,0.613866521144547,0.591108583255444,0.614489237042251,0.00391812325325382,0.119081139292197,0.586141183266241,-1.11017383522475,0.703971583338231,-1.25272713701767,0.15695990296729,0.139169638505866,0.0369267562402946,1.35357878477604,-0.728608096261034
5,"A_p5_lam100","oracleX",6.6342988759698,0.194619422093293,7.45643447736461,1.77978738660518,0.523990003228582,0.907310243280155,0.525216870101574,0.908266049313277,0.0117754679580324,0.215520511517476,-0.744244855291456,1.11542925846675,-1.09705897250195,1.02062266293782,0.864911936603243,-1.14790542516909,-0.0424270252170026,-0.569617740749825,0.390556006620212
