"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"B_p100","quadratic",1,2,0.692791806036843,0.971334817836288,0.751820408432825,0.94107046727496,0.926666666666667,0.893333333333333
2,"B_p100","quadratic",1,1,0.641832159438569,0.00588311121720519,0.750891547151885,0.0788339369619728,0.00333333333333333,0.0233333333333333
3,"B_p100","quadratic",1,1,0.58439332768238,0.0764548312596131,0.752585861258433,0.170655509314982,0.0233333333333333,0.0566666666666667
4,"B_p100","quadratic",1,1,0.498843092529313,0.10833954873495,0.458653992731091,0.387947995966106,0.06,0.24
5,"B_p100","quadratic",1,1,0.534636786272477,0.632566773421415,0.382729931034665,0.27340450225561,0.51,0.133333333333333
6,"B_p100","quadratic",1,3,0.932482081646073,0.440672120857737,0.192159761808838,0.192159761808838,0.333333333333333,0.106666666666667
7,"B_p100","quadratic",1,1,0.517194367243206,0.288884423143916,0.99155067623345,0.14407954117891,0.226666666666667,0.0533333333333333
8,"B_p100","quadratic",1,1,0.527318497178682,0.292078841821806,0.779971189334659,0.0569249343317922,0.21,0.0266666666666667
9,"B_p100","quadratic",1,2,0.729074777726485,0.0779477102331875,0.00864480515727173,0.0512472905260164,0.0566666666666667,0.02
10,"B_p100","quadratic",1,1,0.578467080709844,0.317966331408839,0.668362905136731,0.0474025989515965,0.213333333333333,0.00666666666666667
11,"B_p100","quadratic",1,1,0.658535881352682,0.921819638918578,0.0130824612694436,0.69353564017616,0.896666666666667,0.59
12,"B_p100","quadratic",1,1,0.525885425313314,0.78602100684416,0.0585546114554829,0.335410946185024,0.75,0.193333333333333
13,"B_p100","quadratic",1,2,0.720411915551659,0.20992368600783,0.164019841733207,0.391603411946065,0.176666666666667,0.27
14,"B_p100","quadratic",1,1,0.566419348241722,0.0155999346792535,0.962596235666909,0.046301559422581,0.00666666666666667,0.0166666666666667
15,"B_p100","quadratic",1,1,0.667041113719172,0.0298056984722053,0.0513062412608773,0.0352348364919286,0.01,0.00666666666666667
16,"B_p100","quadratic",1,2,0.692817949680298,0.062782385961858,0.935465832872871,0.294215334371559,0.0333333333333333,0.21
17,"B_p100","quadratic",1,2,0.69880257255898,0.227682170405927,0.209505161407077,0.131619544016582,0.163333333333333,0.0733333333333333
18,"B_p100","quadratic",1,1,0.641893383136604,0.00624887842783406,0.189018220001941,0.00199922356084969,0.00333333333333333,0.00333333333333333
19,"B_p100","quadratic",1,1,0.560166317882593,0.906992950183981,0.906489174772908,0.512507568168721,0.863333333333333,0.393333333333333
20,"B_p100","quadratic",1,1,0.569519583177841,0.333013252061558,0.405172783786275,0.108556939350793,0.253333333333333,0.0533333333333333
21,"B_p100","quadratic",1,1,0.652811726908795,0.949193415272475,0.0350469652439345,0.571016814029734,0.91,0.43
22,"B_p100","quadratic",1,1,0.44655404020392,0.0790261856914961,0.187181395069637,0.292316486156329,0.0266666666666667,0.146666666666667
23,"B_p100","quadratic",1,1,0.59259155088243,0.55106026476243,0.165833489648235,0.316794940285309,0.406666666666667,0.126666666666667
24,"B_p100","quadratic",1,1,0.63313921403043,0.0371657509369148,0.0650922490424706,0.00178348349187418,0.01,0.00333333333333333
25,"B_p100","quadratic",1,3,0.785951798578801,0.117925194538898,0.0914903497490007,0.0914903497490007,0.0666666666666667,0.05
26,"B_p100","quadratic",1,1,0.590576833451187,0.110399587727631,0.12864940895285,0.0678531440024805,0.0633333333333333,0.0166666666666667
27,"B_p100","quadratic",1,1,0.666816753890253,0.630658668072809,0.624212868677267,0.526638002473578,0.493333333333333,0.403333333333333
28,"B_p100","quadratic",1,1,0.514677757039108,0.886747646244397,0.270448755931159,0.679821337369299,0.843333333333333,0.606666666666667
29,"B_p100","quadratic",1,2,0.68737298501713,0.450598651985625,0.750401346189496,0.911517612559069,0.326666666666667,0.89
30,"B_p100","quadratic",1,1,0.560724288767826,0.0197733450901515,0.692061739162839,0.00230604965168979,0.0166666666666667,0.00333333333333333
31,"B_p100","quadratic",1,2,0.727785691999921,0.405094423277828,0.111767047868561,0.161685017871393,0.41,0.133333333333333
32,"B_p100","quadratic",1,1,0.633671295519785,0.32150962411623,0.33951921826899,0.0588199220254643,0.256666666666667,0.01
33,"B_p100","quadratic",1,3,0.773825336173299,0.374202725938568,0.229668043132033,0.229668043132033,0.246666666666667,0.113333333333333
34,"B_p100","quadratic",1,1,0.555910613457532,0.0195735928685161,0.941172642530782,0.00965833859656307,0.0133333333333333,0.00333333333333333
35,"B_p100","quadratic",1,1,0.566997517016073,0.312959378208681,0.716179462263499,0.338895509921097,0.203333333333333,0.223333333333333
36,"B_p100","quadratic",1,1,0.54780425388532,0.47437955077233,0.495403598502482,0.230243019525424,0.38,0.12
37,"B_p100","quadratic",1,3,0.807789487000959,0.104751982098736,0.130973713830961,0.130973713830961,0.0433333333333333,0.0233333333333333
38,"B_p100","quadratic",1,1,0.651921418179817,0.0772590599242684,0.492459083298786,0.00839952820258816,0.05,0.00333333333333333
39,"B_p100","quadratic",1,1,0.60769466232778,0.287195773157507,0.0509153709632605,0.15896180575694,0.203333333333333,0.0666666666666667
40,"B_p100","quadratic",1,1,0.462029913935167,0.14493518808407,0.210516222240579,0.054738485286128,0.0633333333333333,0.01
41,"B_p100","quadratic",1,1,0.585461712167687,0.767271174897737,0.122919934980898,0.754902079727998,0.643333333333333,0.65
42,"B_p100","quadratic",1,2,0.731701033972512,0.519219905292414,0.574545929051578,0.456635852742286,0.413333333333333,0.326666666666667
43,"B_p100","quadratic",1,1,0.630450535410385,0.648058720831623,0.0329087718501523,0.213997540587529,0.563333333333333,0.13
44,"B_p100","quadratic",1,2,0.692610136598413,0.210994445720361,0.0884305363182818,0.0628383621205975,0.113333333333333,0.0266666666666667
45,"B_p100","quadratic",1,1,0.503791072563231,0.0713226519238426,0.792380346919869,0.273417598432052,0.05,0.153333333333333
46,"B_p100","quadratic",1,1,0.583557028976934,0.105460570735426,0.417934783336463,0.190069418014157,0.05,0.1
47,"B_p100","quadratic",1,1,0.58422136950336,0.212218412023839,0.588782971566735,0.0893176935937052,0.126666666666667,0.04
48,"B_p100","quadratic",1,1,0.542932576965112,0.0407099524271571,0.0235075972002454,0.00515923396187457,0.0333333333333333,0.00333333333333333
49,"B_p100","quadratic",1,2,0.673879402028132,0.419488870556515,0.0318044964576079,0.158160427771594,0.266666666666667,0.09
50,"B_p100","quadratic",1,2,0.763335181784094,0.957072516673831,0.605040207655591,0.80176145218537,0.933333333333333,0.71
51,"B_p100","quadratic",1,2,0.718318944365922,0.801489036369707,0.816835768936948,0.391711567731447,0.73,0.263333333333333
52,"B_p100","quadratic",1,1,0.625384841268609,0.706492062423175,0.0686871040438158,0.716086582091865,0.693333333333333,0.613333333333333
53,"B_p100","quadratic",1,3,0.883182655873429,0.0490113803652921,0.0266477527002874,0.0266477527002874,0.00333333333333333,0.00333333333333333
54,"B_p100","quadratic",1,1,0.622055981951372,0.046598806507067,0.607416084985995,0.107384763441926,0.04,0.06
55,"B_p100","quadratic",1,1,0.560766701767519,0.255074976102525,0.383265675242373,0.283864414855091,0.213333333333333,0.223333333333333
56,"B_p100","quadratic",1,2,0.683965984803007,0.987738534467707,0.630671877342605,0.720544964412253,0.97,0.66
57,"B_p100","quadratic",1,1,0.558376520706521,0.809511286798141,0.575804137519106,0.67514162635613,0.776666666666667,0.573333333333333
58,"B_p100","quadratic",1,1,0.556337293275101,0.0998088795542103,0.035096273886249,0.185747115415458,0.0466666666666667,0.0933333333333333
59,"B_p100","quadratic",1,1,0.615280157540978,0.480794751765004,0.882762588641559,0.158123855760953,0.423333333333333,0.126666666666667
60,"B_p100","quadratic",1,2,0.735930016942532,0.133452752465473,0.0336339110862985,0.0324801783736935,0.0833333333333333,0.01
61,"B_p100","quadratic",1,1,0.663365128299012,0.201502193207364,0.0677494398806867,0.165700030752109,0.14,0.0666666666666667
62,"B_p100","quadratic",1,3,0.776708200073117,0.0861005137416768,0.0564944377385502,0.0564944377385502,0.02,0.0166666666666667
63,"B_p100","quadratic",1,1,0.523881225789739,0.0510491239729772,0.0479383448441318,0.0589954118150173,0.0366666666666667,0.0233333333333333
64,"B_p100","quadratic",1,1,0.639995853389363,0.24988615400773,0.0118637271021291,0.026821483611706,0.16,0.0133333333333333
65,"B_p100","quadratic",1,1,0.64666126494524,0.3554425652911,0.031839321118579,0.04589601643466,0.243333333333333,0.01
66,"B_p100","quadratic",1,1,0.522258152294822,0.0862542233313566,0.648342024810004,0.148249080931463,0.07,0.11
67,"B_p100","quadratic",1,1,0.510520183074641,0.121036460953032,0.375011129401494,0.00777686254795129,0.1,0.00333333333333333
68,"B_p100","quadratic",1,1,0.554409520512418,0.0447683636441857,0.0606225187116536,0.0330647988433951,0.03,0.0166666666666667
69,"B_p100","quadratic",1,1,0.609741659497079,0.102350569519427,0.0653325992143011,0.0273295934561318,0.05,0.00333333333333333
70,"B_p100","quadratic",1,1,0.634733528650971,0.028054802418886,0.151853326722689,0.0170645121606334,0.00666666666666667,0.00666666666666667
71,"B_p100","quadratic",1,2,0.672203471876115,0.136246511069444,0.010391979846002,0.0102850029075271,0.0766666666666667,0.01
72,"B_p100","quadratic",1,1,0.536708045988494,0.31461415221393,0.54754430326829,0.735366367420322,0.18,0.606666666666667
73,"B_p100","quadratic",1,2,0.67198087167212,0.0226681905523923,0.00404616389610557,0.0310473266244858,0.00666666666666667,0.01
74,"B_p100","quadratic",1,1,0.520693031735012,0.134416480217847,0.368857138650839,0.0282369021080322,0.05,0.01
75,"B_p100","quadratic",1,1,0.434015594092121,0.0521594412100801,0.94750849322985,0.0114992969764032,0.0233333333333333,0.00666666666666667
76,"B_p100","quadratic",1,2,0.716135039203865,0.811324608364677,0.352027802850155,0.713744854589168,0.706666666666667,0.576666666666667
77,"B_p100","quadratic",1,2,0.760302919627312,0.56502553474247,0.519558168100517,0.262778622337993,0.523333333333333,0.193333333333333
78,"B_p100","quadratic",1,2,0.698262712842353,0.405898748620675,0.0379410706187275,0.150967519007415,0.333333333333333,0.103333333333333
79,"B_p100","quadratic",1,1,0.65686797172103,0.531447819739031,0.700985621608534,0.693161369831265,0.43,0.55
80,"B_p100","quadratic",1,1,0.539935636120129,0.495178896697368,0.240485875953545,0.269311798810264,0.41,0.153333333333333
81,"B_p100","quadratic",1,2,0.690371294097995,0.139305024384087,0.0425986750397966,0.0906434173962032,0.0933333333333333,0.0533333333333333
82,"B_p100","quadratic",1,1,0.466120531186051,0.0960608409606354,0.768544924116443,0.0339535630096778,0.0233333333333333,0.00666666666666667
83,"B_p100","quadratic",1,1,0.585378327783556,0.551551334395587,0.125820613412229,0.470033775825811,0.433333333333333,0.316666666666667
84,"B_p100","quadratic",1,1,0.561681632605549,0.929464828449632,0.97230077489391,0.858909933524872,0.923333333333333,0.823333333333333
85,"B_p100","quadratic",1,2,0.709861281313063,0.0503093745168706,0.010379818028428,0.0241459802795614,0.0266666666666667,0.0166666666666667
86,"B_p100","quadratic",1,1,0.523690654473668,0.0014695695553989,0.378709141527445,0.00172058229767469,0.00333333333333333,0.00333333333333333
87,"B_p100","quadratic",1,1,0.397053374465104,0.534591994272577,0.764854446751354,0.632892591085346,0.48,0.57
88,"B_p100","quadratic",1,1,0.577054810892123,0.894250908010596,0.170476387151543,0.436319386660796,0.863333333333333,0.316666666666667
89,"B_p100","quadratic",1,1,0.261032345817507,0.724671386767434,0.703629612859908,0.84905268013049,0.603333333333333,0.75
90,"B_p100","quadratic",1,1,0.424626084827681,0.821242916880767,0.364826049631326,0.420977630563086,0.763333333333333,0.296666666666667
91,"B_p100","quadratic",1,1,0.453231955083426,0.82006793927558,0.2788216948684,0.628552038890596,0.746666666666667,0.51
92,"B_p100","quadratic",1,1,0.612182055014817,0.504631531047692,0.380282870732688,0.66584822602804,0.356666666666667,0.47
93,"B_p100","quadratic",1,1,0.649701484591799,0.411017206106432,0.375094351874019,0.477168516402098,0.25,0.343333333333333
94,"B_p100","quadratic",1,2,0.73888622865556,0.445985745607514,0.103341085289594,0.271928986747523,0.34,0.18
95,"B_p100","quadratic",1,1,0.647788377443332,0.0180005566097632,0.949938087701397,0.016997970792664,0.01,0.00333333333333333
96,"B_p100","quadratic",1,1,0.448674873082078,0.086231749303354,0.620762031530328,0.0409347642257692,0.05,0.03
97,"B_p100","quadratic",1,2,0.6718188584165,0.511772008777195,0.164939357242745,0.391889774483101,0.38,0.246666666666667
98,"B_p100","quadratic",1,2,0.757418692759331,0.190471984625273,0.262018608804193,0.505246959511307,0.126666666666667,0.393333333333333
99,"B_p100","quadratic",1,1,0.5743411546656,0.90119429350938,0.638975216631525,0.402967341865816,0.843333333333333,0.27
100,"B_p100","quadratic",1,2,0.718038712533025,0.000634971289808828,0.000355398428447007,0.000900302524821761,0.00333333333333333,0.00333333333333333
101,"B_p100","quadratic",1,1,0.610658861235282,0.815566122906905,0.100460356263297,0.362286480853577,0.756666666666667,0.183333333333333
102,"B_p100","quadratic",1,3,0.787522146921263,0.00145861827406502,0.000928813668146899,0.000928813668146899,0.00333333333333333,0.00333333333333333
103,"B_p100","quadratic",1,2,0.710802310789966,0.109332147385523,0.0351076851137085,0.0812896782820499,0.09,0.0433333333333333
