"cell","kappa","hbar","sd_eh","law_obs","tr5","normD2","g_obs","nchanged","floor_est","p_none","p_kappa","p_obs","p_obs_sh","p_law","true_Ev2","meanD2","cor_shape","g_true","R"
"A_k01",0.01,0.00740164767389172,0.396811638531752,0.181156321978956,7.36732784717062,2.80516668077106,0.379574945350091,47.1333333333333,0.942666666666667,0.0166666666666667,0.0166666666666667,0,0,0.0166666666666667,0.193030566111111,0.630802632777778,0.128914837686859,0.0262008926595066,60
"B_k10",0.1,0.0170061676198978,0.526315247553439,0.429307646298697,4.39465887811614,5.55172147254017,1.26481423970532,66.7333333333333,1.66833333333333,0.116666666666667,0.1,0,0,0.1,0.651100240277778,1.51594164722222,0.358726564616246,0.148157174045983,60
"B_k25",0.25,0.0378132438524278,0.572937603576931,1.78699005724443,3.81371177047654,15.6090346741061,4.10513677140473,137.316666666667,3.43291666666667,0.0666666666666667,0.05,0,0,0.05,0.661985317777778,6.81955139861111,0.438554075768459,0.173580322168673,60
"B_k40",0.4,0.0577814272037518,0.609618365918106,3.68011119359486,3.15346271831572,24.1035761905393,7.64475813543228,192.883333333333,4.82208333333333,0.166666666666667,0.0833333333333333,0,0,0.0833333333333333,0.640741858888889,13.9619647613889,0.462904480277667,0.203186755678885,60
"H1_k15",0.15,0.0240599529380844,0.538154626060869,0.831314592336205,4.22064515417758,7.89300191643615,1.85960093530142,91.4666666666667,2.28666666666667,0.1,0.1,0,0,0.1,0.4702677525,2.84582982361111,0.393194145980574,0.111420822012135,60
"H3_k40_lam50",0.4,0.159881062024521,1.33297425177439,5.89649372847026,3.19908653814695,52.5010903427422,21.3518231701002,230.383333333333,5.75958333333333,0.166666666666667,0.15,0,0,0.133333333333333,1.46384054083333,40.9617026363889,0.329707040030097,0.457580788571369,60
"H5_k25_ar03",0.25,0.0467687817362737,0.311484055244448,9.17736277386363,3.73535763885544,41.1624895780421,11.0189128942872,237.733333333333,5.94333333333333,0.816666666666667,0.7,0,0,0.433333333333333,6.05535430083333,29.555029445,0.531636274563353,1.62109090648915,60
"H8_n800_k25",0.25,0.0366068085575964,0.57816430675426,3.25404512647202,3.83876028714094,19.2493796998959,5.01414681434794,262.15,3.276875,0.133333333333333,0.133333333333333,0,0,0.133333333333333,1.24851673166667,12.1956495580556,0.444569997835395,0.325239566494668,60
