"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
39,"A_p5","quadratic",0.5,3,0.894298157338737,0.26765757933386,0.432581616216647,0.432581616216647,0.263333333333333,0.423333333333333
40,"A_p5","quadratic",0.5,3,0.927792730353199,0.0877026492800199,0.00800067021709516,0.00800067021709516,0.0966666666666667,0.0133333333333333
41,"A_p5","quadratic",0.5,3,0.912700487640988,0.0297202380138134,0.0604611159576802,0.0604611159576802,0.0266666666666667,0.0533333333333333
42,"A_p5","quadratic",0.5,3,0.907155245901233,0.747213646431548,0.258938769010417,0.258938769010417,0.726666666666667,0.27
43,"A_p5","quadratic",0.5,3,0.933672314592243,0.0479450382262676,0.034016727372598,0.034016727372598,0.04,0.0333333333333333
44,"A_p5","quadratic",0.5,3,0.956030119796994,0.444459496023024,0.193385392876743,0.193385392876743,0.446666666666667,0.213333333333333
45,"A_p5","quadratic",0.5,3,0.90276753505085,0.00140649105678747,0.00120310252922784,0.00120310252922784,0.00666666666666667,0.00333333333333333
46,"A_p5","quadratic",0.5,3,0.949135194356617,0.00114353117465238,2.50977182407741e-05,2.50977182407741e-05,0.00333333333333333,0.00333333333333333
47,"A_p5","quadratic",0.5,3,0.901261559735434,0.0548726540312495,0.0314741417136778,0.0314741417136778,0.0533333333333333,0.03
48,"A_p5","quadratic",0.5,3,0.902958696931571,0.0827641987769772,0.0174066553906529,0.0174066553906529,0.113333333333333,0.02
49,"A_p5","quadratic",0.5,3,0.944638929047574,0.0104729037714218,0.000532221623583462,0.000532221623583462,0.02,0.00333333333333333
50,"A_p5","quadratic",0.5,3,0.914044407308853,0.0057159218874715,0.000178482584430983,0.000178482584430983,0.00666666666666667,0.00333333333333333
51,"A_p5","quadratic",0.5,3,0.917156841002649,0.0851129672634974,0.00607758000029213,0.00607758000029213,0.12,0.0133333333333333
52,"A_p5","quadratic",0.5,3,0.925769889859755,0.201595625422601,0.116051460910372,0.116051460910372,0.22,0.13
53,"A_p5","quadratic",0.5,3,0.926728932632581,0.0682754240080808,0.0466776744550013,0.0466776744550013,0.06,0.0266666666666667
54,"A_p5","quadratic",0.5,3,0.93032367832869,0.624301457157365,0.198262290908032,0.198262290908032,0.653333333333333,0.2
55,"A_p5","quadratic",0.5,3,0.937718531013381,0.304204394800302,0.0185128260261007,0.0185128260261007,0.316666666666667,0.03
56,"A_p5","quadratic",0.5,3,0.921864158099727,0.000628252389606621,0.000525310477110019,0.000525310477110019,0.00333333333333333,0.00333333333333333
57,"A_p5","quadratic",0.5,3,0.919355253654161,0.747665705353957,0.719154543482534,0.719154543482534,0.79,0.753333333333333
58,"A_p5","quadratic",0.5,3,0.920209933944153,0.256344600767292,0.10323518735412,0.10323518735412,0.293333333333333,0.136666666666667
59,"A_p5","quadratic",0.5,3,0.915295267452967,0.000483152354492922,0.000264034440506156,0.000264034440506156,0.00333333333333333,0.00333333333333333
60,"A_p5","quadratic",0.5,3,0.942471462867213,0.028733973377465,0.0116590452589242,0.0116590452589242,0.0233333333333333,0.02
61,"A_p5","quadratic",0.5,3,0.908576243801806,0.016206561788058,0.0113679861003637,0.0113679861003637,0.02,0.0133333333333333
62,"A_p5","quadratic",0.5,3,0.930668023526274,0.105372163853539,0.0155729812146335,0.0155729812146335,0.116666666666667,0.0133333333333333
63,"A_p5","quadratic",0.5,3,0.948571673487475,0.18945677544321,0.0407580780003484,0.0407580780003484,0.21,0.04
64,"A_p5","quadratic",0.5,3,0.884366745385979,0.342634802225768,0.763324318559346,0.763324318559346,0.323333333333333,0.756666666666667
65,"A_p5","quadratic",0.5,3,0.950544920288277,0.0165571931518725,0.00629900766184543,0.00629900766184543,0.01,0.00666666666666667
66,"A_p5","quadratic",0.5,3,0.917757110681918,0.162974522035253,0.0495025215543644,0.0495025215543644,0.156666666666667,0.0533333333333333
67,"A_p5","quadratic",0.5,3,0.923914871614481,0.515179390430134,0.0806398942612516,0.0806398942612516,0.55,0.0833333333333333
68,"A_p5","quadratic",0.5,3,0.932769282238134,0.578909586747275,0.433170345567353,0.433170345567353,0.61,0.416666666666667
69,"A_p5","quadratic",0.5,3,0.926950519362238,0.133287211872794,0.0137122796894702,0.0137122796894702,0.146666666666667,0.01
70,"A_p5","quadratic",0.5,3,0.939371210528529,0.0571038038056804,0.00876428742407176,0.00876428742407176,0.0533333333333333,0.0133333333333333
