"cell","grouping","S_dec","S_edge","tr_OmMLE","df_edge","tr_OmK","S_dec_unc","df_M","trV_M","v_hat","r2_hat","gamma_hat","df_F","trV_F","trW","norm_bhat","norm_btilde","rej_dec","rej_edge","defl_dec","defl_edge","cand_trV","n_minus_dfM","cand_df","n","p","cand_r2","R"
"A_n500_p5_lam100","debiased",7.52457068144114,1.7206300691564,7.97410701234479,2.02263658778356,8.20441451551205,22.3437585058451,3.69719091629369,119.084212502226,0.238168425004453,0.223981155455625,0.0310484908391614,6,118.537762538511,119.965407960223,0.404706372843518,0.772821610199378,0.036,0.034,0.943625495593711,0.850686712357902,1.0046099230491,NA,1.00466155684961,500,5,0.933523918536127,500
"A_n500_p5_lam100","oracle",7.3220935595229,1.71650984331373,7.97411774981439,2.02325958121401,8.203624092401,21.2294124498847,3.69719091629369,119.084212502226,0.238168425004453,0.223981155455625,0.0310484908391614,6,118.537762538511,119.965407960223,0.404706372843518,0.772821610199378,0.034,0.026,0.918232435142224,0.848388342875796,1.0046099230491,NA,1.00466155684961,500,5,0.933523918536127,500
"A_n500_p5_lam100","random",7.40486365064479,1.66274929824524,7.97375280777059,2.02264882682583,8.20254490455763,22.1598667990514,3.69719091629369,119.084212502226,0.238168425004453,0.223981155455625,0.0310484908391614,6,118.537762538511,119.965407960223,0.404706372843518,0.772821610199378,0.03,0.028,0.928654778892643,0.822065242464566,1.0046099230491,NA,1.00466155684961,500,5,0.933523918536127,500
"A_n500_p5_lam137","debiased",7.53866608236418,1.73114489481589,7.9749763639648,2.0234100762161,8.27924255463683,27.1103487851205,3.32330874158852,120.397146066788,0.240794292133576,0.22640811224914,0.0276038474452825,6,119.753996029167,121.198416936414,0.344706812940265,0.760838934085056,0.034,0.04,0.945290084673842,0.855558107159988,1.00537059354132,NA,1.00541840335711,500,5,0.93403906574095,500
"A_n500_p5_lam137","oracle",7.29332812427793,1.71570876243458,7.97486878337025,2.02399055031135,8.27856707065943,25.6716923515506,3.32330874158852,120.397146066788,0.240794292133576,0.22640811224914,0.0276038474452825,6,119.753996029167,121.198416936414,0.344706812940265,0.760838934085056,0.034,0.022,0.914538950093636,0.847686152571537,1.00537059354132,NA,1.00541840335711,500,5,0.93403906574095,500
"A_n500_p5_lam137","random",7.37302160687853,1.64669346495423,7.97424812829196,2.02326815266987,8.27659739171334,26.8502573541663,3.32330874158852,120.397146066788,0.240794292133576,0.22640811224914,0.0276038474452825,6,119.753996029167,121.198416936414,0.344706812940265,0.760838934085056,0.022,0.03,0.924603986264194,0.813878013540265,1.00537059354132,NA,1.00541840335711,500,5,0.93403906574095,500
"A_n500_p5_lam200","debiased",7.50006244915087,1.74810566218379,7.97581086110369,2.0241475295267,8.38113256673458,33.4079736719081,2.88190004150609,121.714623957936,0.243429247915871,0.229734784079375,0.023678041919196,6,120.955904482027,122.41762500734,0.276059291287248,0.747556342536213,0.038,0.038,0.940351091539427,0.86362561853016,1.00627269482344,NA,1.00631194323582,500,5,0.938323971183069,500
"A_n500_p5_lam200","oracle",7.27966030530807,1.72816409584231,7.97563023695683,2.02466848230361,8.38069190127065,31.6610985343964,2.88190004150609,121.714623957936,0.243429247915871,0.229734784079375,0.023678041919196,6,120.955904482027,122.41762500734,0.276059291287248,0.747556342536213,0.034,0.02,0.912737939075482,0.853554105744782,1.00627269482344,NA,1.00631194323582,500,5,0.938323971183069,500
"A_n500_p5_lam200","random",7.3899514327158,1.68793979758915,7.97544304291091,2.02404493458785,8.37820619500655,33.1395016486314,2.88190004150609,121.714623957936,0.243429247915871,0.229734784079375,0.023678041919196,6,120.955904482027,122.41762500734,0.276059291287248,0.747556342536213,0.018,0.03,0.926588202430267,0.833943836297714,1.00627269482344,NA,1.00631194323582,500,5,0.938323971183069,500
"B_n400_p100_lam1000","debiased",16.3234336280621,11.2637760622818,6.04980278049418,1.55437011346071,8.4881660602126,157.833225754668,8.63577537471634,95.5281846310767,0.238820461577692,0.220215557549939,0.0904017920668108,101,72.9699977064535,97.6351738984767,0.13921213920216,2.38873289200563,0.802,0.964,2.69817615884807,7.24652125303907,1.30914331415181,NA,1.30891045025178,400,100,0.90219763536827,500
"B_n400_p100_lam1000","oracle",5.7420906117884,2.23730402776463,6.03706749335502,1.54874625133493,8.42795060175381,86.2347014687876,8.63577537471634,95.5281846310767,0.238820461577692,0.220215557549939,0.0904017920668108,101,72.9699977064535,97.6351738984767,0.13921213920216,2.38873289200563,0.034,0.122,0.9511390452581,1.44459043941911,1.30914331415181,NA,1.30891045025178,400,100,0.90219763536827,500
"B_n400_p100_lam1000","random",4.90976391024574,1.26071981049072,6.02923802321715,1.5378921964852,8.19345125085063,53.2327532780924,8.63577537471634,95.5281846310767,0.238820461577692,0.220215557549939,0.0904017920668108,101,72.9699977064535,97.6351738984767,0.13921213920216,2.38873289200563,0.014,0.034,0.814325772400994,0.819771251438853,1.30914331415181,NA,1.30891045025178,400,100,0.90219763536827,500
"B_n400_p100_lam416","debiased",15.5746869133715,10.5509997801155,6.04330593714382,1.55712893122037,8.16282795200864,132.343255358082,15.3284527406747,90.7233180563516,0.226808295140879,0.204921333941976,0.168966374929737,101,70.4365686402903,94.34856472622,0.249110753543721,2.47268308302147,0.764,0.948,2.57717995338366,6.77593201729692,1.28801444771767,NA,1.28652691391079,400,100,0.868784107258507,500
