"cell","ref","defl_dec","defl_edge","size_dec","size_edge","implied_dec","mean_S_dec","w_ratio","w_ratio_recal","recal_slope","meanv_norm2_over_tr","R"
"A_n500_p5_lam100","R0",0.928654778892644,0.822065242464566,0.03,0.028,7.97375280777059,7.40486365064479,0.918226967834652,0.90486670738526,2.0275294343485,0.0094471582870758,500
"A_n500_p5_lam100","R1",0.927580215853473,0.818479355916503,0.03,0.028,7.98299006822986,7.40486365064479,0.918226967834652,0.90486670738526,2.0275294343485,0.0094471582870758,500
"A_n500_p5_lam100","R2",1.00416325199149,0.9804054474412,0.044,0.05,7.37416315121987,7.40486365064479,0.918226967834652,0.90486670738526,2.0275294343485,0.0094471582870758,500
"A_n500_p5_lam100","R3",1.00626477451315,0.989452956589273,0.046,0.05,7.35876266187238,7.40486365064479,0.918226967834652,0.90486670738526,2.0275294343485,0.0094471582870758,500
"A_n500_p5_lam100","R4",1.01779013248815,1.01014591646408,0.052,0.05,7.27543273832145,7.40486365064479,0.918226967834652,0.90486670738526,2.0275294343485,0.0094471582870758,500
"A_n500_p5_lam137","R0",0.924603986264194,0.813878013540265,0.022,0.03,7.97424812829196,7.37302160687853,0.911903530731572,0.895767996415048,2.37828104423843,0.0132608087846706,500
"A_n500_p5_lam137","R1",0.923648540748331,0.810675456023302,0.022,0.03,7.98249689314182,7.37302160687853,0.911903530731572,0.895767996415048,2.37828104423843,0.0132608087846706,500
"A_n500_p5_lam137","R2",1.00454200365174,0.981987522297939,0.036,0.04,7.33968473202307,7.37302160687853,0.911903530731572,0.895767996415048,2.37828104423843,0.0132608087846706,500
"A_n500_p5_lam137","R3",1.00677315907474,0.991620093067066,0.038,0.042,7.323418925525,7.37302160687853,0.911903530731572,0.895767996415048,2.37828104423843,0.0132608087846706,500
"A_n500_p5_lam137","R4",1.02086776733055,1.01785585924715,0.044,0.046,7.22230816059371,7.37302160687853,0.911903530731572,0.895767996415048,2.37828104423843,0.0132608087846706,500
"A_n500_p5_lam200","R0",0.926588202430267,0.833943836297714,0.018,0.03,7.97544304291091,7.3899514327158,0.906132987516188,0.886987550311013,2.96660054147238,0.0184990962751933,500
"A_n500_p5_lam200","R1",0.925827173964538,0.831316986268066,0.018,0.03,7.98199884441808,7.3899514327158,0.906132987516188,0.886987550311013,2.96660054147238,0.0184990962751933,500
"A_n500_p5_lam200","R2",1.01080649334423,1.01647144305633,0.044,0.05,7.3109457461698,7.3899514327158,0.906132987516188,0.886987550311013,2.96660054147238,0.0184990962751933,500
"A_n500_p5_lam200","R3",1.01300327277586,1.0262565154211,0.044,0.05,7.29509136971063,7.3899514327158,0.906132987516188,0.886987550311013,2.96660054147238,0.0184990962751933,500
"A_n500_p5_lam200","R4",1.03013857241283,1.0603938596112,0.05,0.056,7.1737449995749,7.3899514327158,0.906132987516188,0.886987550311013,2.96660054147238,0.0184990962751933,500
"B_n400_p100_lam50","R0",0.844923761602912,0.87803301342105,0.02,0.03,5.99573071060916,5.065935345566,0.779137399054883,0.758838738680362,1.85673429237854,0.0870425178599416,500
"B_n400_p100_lam50","R1",0.831528633211367,0.843546782645649,0.018,0.026,6.09231617918114,5.065935345566,0.779137399054883,0.758838738680362,1.85673429237854,0.0870425178599416,500
"B_n400_p100_lam50","R2",1.11787678753303,1.30356469605035,0.086,0.12,4.53174750747413,5.065935345566,0.779137399054883,0.758838738680362,1.85673429237854,0.0870425178599416,500
"B_n400_p100_lam50","R3",1.1410565128312,1.36097474354189,0.092,0.126,4.43968838405415,5.065935345566,0.779137399054883,0.758838738680362,1.85673429237854,0.0870425178599416,500
"B_n400_p100_lam50","R4",1.18596992453768,1.56067128416439,0.098,0.154,4.27155464970229,5.065935345566,0.779137399054883,0.758838738680362,1.85673429237854,0.0870425178599416,500
"B_n400_p100_lam416","R0",0.808011871201864,0.749841502008029,0.018,0.024,6.02259150398715,4.86632543062111,0.742903835437481,0.78755353660231,2.72148079698027,0.0468016373152576,500
"B_n400_p100_lam416","R1",0.805109363055624,0.740955096043722,0.018,0.024,6.0443036113156,4.86632543062111,0.742903835437481,0.78755353660231,2.72148079698027,0.0468016373152576,500
"B_n400_p100_lam416","R2",1.0854110932396,1.09748556346885,0.076,0.08,4.4833938596451,4.86632543062111,0.742903835437481,0.78755353660231,2.72148079698027,0.0468016373152576,500
"B_n400_p100_lam416","R3",1.09259476041195,1.11760521400517,0.078,0.086,4.45391613335792,4.86632543062111,0.742903835437481,0.78755353660231,2.72148079698027,0.0468016373152576,500
"B_n400_p100_lam416","R4",1.02262153726224,1.15383927398653,0.058,0.09,4.7586768450518,4.86632543062111,0.742903835437481,0.78755353660231,2.72148079698027,0.0468016373152576,500
"B_n400_p100_lam1000","R0",0.814325772400994,0.819771251438852,0.014,0.034,6.02923802321715,4.90976391024574,0.733578474636636,0.785827965866498,4.16359200771723,0.059504992572144,500
"B_n400_p100_lam1000","R1",0.813137699955835,0.815465033918809,0.014,0.032,6.03804732029079,4.90976391024574,0.733578474636636,0.785827965866498,4.16359200771723,0.059504992572144,500
"B_n400_p100_lam1000","R2",1.10064680161489,1.20760745043592,0.072,0.082,4.46079878035538,4.90976391024574,0.733578474636636,0.785827965866498,4.16359200771723,0.059504992572144,500
"B_n400_p100_lam1000","R3",1.10471051190046,1.22223369826867,0.074,0.082,4.44438960013094,4.90976391024574,0.733578474636636,0.785827965866498,4.16359200771723,0.059504992572144,500
