"cell","hl","edge_k","e3","deg","rho_hat","R"
"A_p5_lam100",0.046,0.05,0.05,3,0.93,500
"A_p5_lam137",0.038,0.04,0.04,3,0.93,500
"A_p5_lam200",0.046,0.048,0.048,3,0.92,500
"B_p100_lam1000",0.036,0.03,0.04,2,0.69,500
"B_p100_lam416",0.052,0.028,0.03,2,0.69,500
"B_p100_lam50",0.032,0.006,0.016,2,0.7,500
"B_p160_lam416",0.036,0.018,0.022,3,0.65,500
"B_p40_lam416",0.06,0.04,0.044,2,0.71,500
