"cell","kappa","prev","deg","rho_hat","size_hl","size_edge","size_eta","ratio_p","ncsh_p","ratio_e","ncsh_e","g_used","pbar_rng","reps"
"k25_prev50",0.25,0.498,2,0.73,0.056,0.044,0.05,1.12094311627222,0.241367017025074,1.09902200121064,0.234909140270683,0.028,"0.270-0.727",500
"k25_prev30",0.25,0.298,2,0.72,0.06,0.14,0.182,1.93390052584844,0.980543418611213,2.14469880684792,1.2768362319634,0.028,"0.137-0.513",500
"k25_prev15",0.25,0.15,2,0.68,0.204,0.574,0.642,5.04726740235924,4.04542705640488,5.73842570057376,4.86864385543849,0.028,"0.071-0.273",500
"k25_prev08",0.25,0.081,2,0.62,0.491967871485944,0.883534136546185,0.927710843373494,9.84277700038858,8.91340102342219,10.1565150164323,9.31804094470743,0.028,"0.044-0.139",498
"k10_prev08",0.1,0.08,2,0.63,0.400801603206413,0.723446893787575,0.787575150300601,6.83381948161848,5.86539643812579,7.55615700795284,6.67538621141201,0.011,"0.046-0.128",499
"A_prev50",0.01,0.499,3,0.93,0.044,0.05,0.048,0.977411703168574,0.0315938718532712,0.977000555123186,0.0315501397304205,0.012,"0.331-0.668",500
"A_prev08",0.01,0.081,3,0.69,0.05,0.13,0.136,1.52592605658566,0.57191350602981,1.51667288688992,0.594978835394841,0.012,"0.055-0.114",500
