"cell","n","p","kappa","lambda","meanv2_tr","hbar","df_M","shrink","tr","rho","one_minus_rho2"
"A_n500_p5_lam100",500,5,0.01,100,0.00944715828707579,0.00739438183258738,3.69719091629369,0.523673726902007,7.97375280777059,0.941661709434704,0.113273224984512
"A_n500_p5_lam137",500,5,0.01,137,0.0132608087846706,0.00664661748317704,3.32330874158852,0.4530614792404,7.97424812829196,0.936323768808548,0.123297799964157
"A_n500_p5_lam200",500,5,0.01,200,0.0184990962751933,0.00576380008301218,2.88190004150609,0.369282254165177,7.97544304291091,0.927459867494884,0.139818194186372
"B_n400_p100_lam50",400,100,0.25,50,0.0870425178599416,0.109179097621724,43.6716390486895,0.286022413606466,5.99573071060916,0.698962716635591,0.511451120753395
"B_n400_p100_lam416",400,100,0.25,416,0.0468016373152576,0.0383211318516868,15.3284527406747,0.100745119847434,6.02259150398715,0.710035703080106,0.495849300351539
"B_n400_p100_lam1000",400,100,0.25,1000,0.059504992572144,0.0215894384367909,8.63577537471634,0.0582786546239896,6.02923802321715,0.68985072788485,0.524105973236742
"B_n400_p40_lam416",400,40,0.1,416,0.0241124912493473,0.0172189719070847,6.88758876283388,0.10952507133318,7.24615695894806,0.733511357013829,0.461961089131731
"B_n400_p160_lam416",400,160,0.4,416,0.0855925401280201,0.058641830997075,23.45673239883,0.0888015320465114,4.81070047584781,0.667969167084409,0.55381719182456
