"rep","cell","dep","rel","grouping","prev","hl","edge"
36,"k25_prev50","null",0,"fitted",0.5025,0.228889137782615,0.458222350688628
36,"k25_prev50","null",0,"pc1",0.5025,0.954538510831818,0.87886836076796
37,"k25_prev50","null",0,"fitted",0.505,0.917484174077725,0.686593637961713
37,"k25_prev50","null",0,"pc1",0.505,0.91658853141224,0.907011823643559
38,"k25_prev50","null",0,"fitted",0.4875,0.00366906653673205,0.170458068872791
38,"k25_prev50","null",0,"pc1",0.4875,0.988405648191192,0.790755032266912
39,"k25_prev50","null",0,"fitted",0.4825,0.919128434244564,0.827849829536821
39,"k25_prev50","null",0,"pc1",0.4825,0.72981830480047,0.553600296934926
40,"k25_prev50","null",0,"fitted",0.5175,0.345771999734922,0.596544480465692
40,"k25_prev50","null",0,"pc1",0.5175,0.933533533441589,0.685534242260386
41,"k25_prev50","null",0,"fitted",0.49,0.270263747442849,0.155070399791772
41,"k25_prev50","null",0,"pc1",0.49,0.655667957813906,0.681172224228056
42,"k25_prev50","null",0,"fitted",0.4925,0.291349477835443,0.547795278070087
42,"k25_prev50","null",0,"pc1",0.4925,0.907111935432737,0.337580976876826
43,"k25_prev50","null",0,"fitted",0.5175,0.803189854562827,0.867282743853201
43,"k25_prev50","null",0,"pc1",0.5175,0.51090539726213,0.493317067275098
44,"k25_prev50","null",0,"fitted",0.4825,0.765550002190716,0.308243667245862
44,"k25_prev50","null",0,"pc1",0.4825,0.344365878860787,0.460171961726436
45,"k25_prev50","null",0,"fitted",0.49,0.188196031157781,0.828419246344972
45,"k25_prev50","null",0,"pc1",0.49,0.910531045798218,0.300537631873221
46,"k25_prev50","null",0,"fitted",0.4825,0.53997953971326,0.894215272659484
46,"k25_prev50","null",0,"pc1",0.4825,0.642145408573354,0.399071100294284
47,"k25_prev50","null",0,"fitted",0.5175,0.397507336852702,0.184622306073804
47,"k25_prev50","null",0,"pc1",0.5175,0.133484218805275,0.155103487764782
48,"k25_prev50","null",0,"fitted",0.5125,0.991046758284259,0.690604453548072
48,"k25_prev50","null",0,"pc1",0.5125,0.539203172506189,0.674707683236155
49,"k25_prev50","null",0,"fitted",0.48,0.168211487980713,0.300438101971386
49,"k25_prev50","null",0,"pc1",0.48,0.914717479480403,0.363367526742484
50,"k25_prev50","null",0,"fitted",0.505,0.66050137693964,0.634633759382002
50,"k25_prev50","null",0,"pc1",0.505,0.595838141157311,0.281657340094238
51,"k25_prev50","null",0,"fitted",0.4975,0.340883691491409,0.787542790900253
51,"k25_prev50","null",0,"pc1",0.4975,0.743100493367777,0.153431309323181
52,"k25_prev50","null",0,"fitted",0.4925,0.487593426368921,0.140273721789925
52,"k25_prev50","null",0,"pc1",0.4925,0.0983713353752818,0.656588207355542
53,"k25_prev50","null",0,"fitted",0.49,0.381844494589525,0.160467135866604
53,"k25_prev50","null",0,"pc1",0.49,0.127098173333227,0.822065251873037
54,"k25_prev50","null",0,"fitted",0.5325,0.19184092833325,0.486264948413876
54,"k25_prev50","null",0,"pc1",0.5325,0.656589949070215,0.733584347713742
55,"k25_prev50","null",0,"fitted",0.4975,0.0364485240006198,0.240943908643445
55,"k25_prev50","null",0,"pc1",0.4975,0.607488115956755,0.59882320381688
56,"k25_prev50","null",0,"fitted",0.465,0.403755702757333,0.788675425751896
56,"k25_prev50","null",0,"pc1",0.465,0.959600354609382,0.68383552884786
57,"k25_prev50","null",0,"fitted",0.5,0.78445029243505,0.292992397987212
57,"k25_prev50","null",0,"pc1",0.5,0.691083842351248,0.973813334513019
58,"k25_prev50","null",0,"fitted",0.51,0.353391969539937,0.024032172997428
58,"k25_prev50","null",0,"pc1",0.51,0.580811873206706,0.116085163587675
59,"k25_prev50","null",0,"fitted",0.525,0.317566135767963,0.640947981948835
59,"k25_prev50","null",0,"pc1",0.525,0.433271142623942,0.481473311902271
60,"k25_prev50","null",0,"fitted",0.5,0.253021145227734,0.540906847210195
60,"k25_prev50","null",0,"pc1",0.5,0.682042674849677,0.630165337153978
61,"k25_prev50","null",0,"fitted",0.505,0.332152854863519,0.918688908612754
61,"k25_prev50","null",0,"pc1",0.505,0.551281158029621,0.341372283427273
62,"k25_prev50","null",0,"fitted",0.51,0.788849202926682,0.889925573400559
62,"k25_prev50","null",0,"pc1",0.51,0.622072571889322,0.986809103907165
63,"k25_prev50","null",0,"fitted",0.475,0.269290810082769,0.981521624689426
63,"k25_prev50","null",0,"pc1",0.475,0.403311750015995,0.0644398599751378
64,"k25_prev50","null",0,"fitted",0.5075,0.611997660685665,0.469132289585665
64,"k25_prev50","null",0,"pc1",0.5075,0.738151514309606,0.106857686140128
65,"k25_prev50","null",0,"fitted",0.4975,0.770832175656687,0.708328672269362
65,"k25_prev50","null",0,"pc1",0.4975,0.794604558132514,0.351716414837967
66,"k25_prev50","null",0,"fitted",0.515,0.0753367145102195,0.0352757331471573
66,"k25_prev50","null",0,"pc1",0.515,0.367566988621301,0.343626797631704
67,"k25_prev50","null",0,"fitted",0.5125,0.128125734987143,0.198820307099257
67,"k25_prev50","null",0,"pc1",0.5125,0.650455191900485,0.503107643420874
68,"k25_prev50","null",0,"fitted",0.47,0.154473456663587,0.189788067965418
68,"k25_prev50","null",0,"pc1",0.47,0.0289081659449506,0.208601586244339
69,"k25_prev50","null",0,"fitted",0.51,0.149648026044168,0.129786112650937
69,"k25_prev50","null",0,"pc1",0.51,0.670695470276438,0.234343565083074
70,"k25_prev50","null",0,"fitted",0.495,0.139046833715858,0.676818706023133
70,"k25_prev50","null",0,"pc1",0.495,0.155089648133909,0.774008293425059
71,"k25_prev50","null",0,"fitted",0.52,0.506525969029569,0.968194333319864
71,"k25_prev50","null",0,"pc1",0.52,0.497669358803593,0.243042705810635
72,"k25_prev50","null",0,"fitted",0.4975,0.298669933622918,0.77356915392838
72,"k25_prev50","null",0,"pc1",0.4975,0.491593673014233,0.410768256723781
73,"k25_prev50","null",0,"fitted",0.47,0.0236292961327971,0.589957855148954
73,"k25_prev50","null",0,"pc1",0.47,0.87478519994062,0.494591001950929
74,"k25_prev50","null",0,"fitted",0.4975,0.301782220092303,0.299738051995412
74,"k25_prev50","null",0,"pc1",0.4975,0.74797806129192,0.948358329306794
75,"k25_prev50","null",0,"fitted",0.475,0.0234592766590904,0.100265393560014
75,"k25_prev50","null",0,"pc1",0.475,0.7432729042865,0.40805303777415
76,"k25_prev50","null",0,"fitted",0.5025,0.393849288605181,0.0675691237173555
76,"k25_prev50","null",0,"pc1",0.5025,0.0857141359479567,0.320608007433511
77,"k25_prev50","null",0,"fitted",0.485,0.805716401863005,0.969690110497683
77,"k25_prev50","null",0,"pc1",0.485,0.0665000234223156,0.353466149384623
78,"k25_prev50","null",0,"fitted",0.5025,0.40857349847832,0.322593564497151
78,"k25_prev50","null",0,"pc1",0.5025,0.290001602881182,0.481322788331093
79,"k25_prev50","null",0,"fitted",0.485,0.8564442807025,0.944223087427542
79,"k25_prev50","null",0,"pc1",0.485,0.940278411298382,0.950051279653667
80,"k25_prev50","null",0,"fitted",0.49,0.362517426249861,0.973684665136405
80,"k25_prev50","null",0,"pc1",0.49,0.691835225623888,0.645840919757015
81,"k25_prev50","null",0,"fitted",0.4975,0.62076849061046,0.112815599383346
81,"k25_prev50","null",0,"pc1",0.4975,0.213480843301768,0.192744534208472
82,"k25_prev50","null",0,"fitted",0.4875,0.689487222450192,0.436048769858645
82,"k25_prev50","null",0,"pc1",0.4875,0.176984167084436,0.0428720398754344
83,"k25_prev50","null",0,"fitted",0.5125,0.223018996675417,0.178542542385544
83,"k25_prev50","null",0,"pc1",0.5125,0.529631117256443,0.785413480069273
84,"k25_prev50","null",0,"fitted",0.485,0.576749144030245,0.477718744619819
84,"k25_prev50","null",0,"pc1",0.485,0.285440468620355,0.725349952444104
85,"k25_prev50","null",0,"fitted",0.485,0.7982786195988,0.648880246706702
85,"k25_prev50","null",0,"pc1",0.485,0.0647939558701431,0.309113289531982
86,"k25_prev50","null",0,"fitted",0.4925,0.187881617129594,0.625399088204741
86,"k25_prev50","null",0,"pc1",0.4925,0.833745815602069,0.359662264878268
87,"k25_prev50","null",0,"fitted",0.465,0.28562064274022,0.663654565571471
87,"k25_prev50","null",0,"pc1",0.465,0.113919411090073,0.0103645205520739
88,"k25_prev50","null",0,"fitted",0.4925,0.538515193485409,0.350666967325661
88,"k25_prev50","null",0,"pc1",0.4925,0.325883783377625,0.155512557822845
89,"k25_prev50","null",0,"fitted",0.49,0.23486080719092,0.104292575041317
89,"k25_prev50","null",0,"pc1",0.49,0.158278971688195,0.207442026349188
90,"k25_prev50","null",0,"fitted",0.5025,0.0134619729935466,0.00557877590377887
90,"k25_prev50","null",0,"pc1",0.5025,0.306317188119906,0.242486192040343
91,"k25_prev50","null",0,"fitted",0.49,0.449642955721334,0.569064889348434
