"rep","cell","dep","rel","calm_hl","calm_edge","deg","rho_hat","grp"
1,"S_k25_sparse5","null",0,0.539263142016558,0.731153243780923,2,0.571481283077413,1
2,"S_k25_sparse5","null",0,0.719025167057907,0.806234318705225,2,0.516956286028517,1
3,"S_k25_sparse5","null",0,0.276400695382695,0.622460983493843,2,0.514652502365795,0.732447082478769
4,"S_k25_sparse5","null",0,0.672722121819193,0.0930755873844038,2,0.581890980740658,0.615381109315513
5,"S_k25_sparse5","null",0,0.902478311234061,0.457690926773364,2,0.498626041040625,0.384040491164481
6,"S_k25_sparse5","null",0,0.606125621678787,0.825566324102584,2,0.515602547597783,0.323387207971241
7,"S_k25_sparse5","null",0,0.84220530185172,0.695888402338197,2,0.570303033284054,1
8,"S_k25_sparse5","null",0,0.501664896794298,0.433700432970066,2,0.591177813073202,0.772683320439386
9,"S_k25_sparse5","null",0,0.373547736015082,0.627091383988543,2,0.630619271178776,0.903605021088032
10,"S_k25_sparse5","null",0,0.868066590401243,0.57927528658539,2,0.414397781169995,0.878371716213526
11,"S_k25_sparse5","null",0,0.609174869040666,0.884062549874827,2,0.598646305302248,1
12,"S_k25_sparse5","null",0,0.0928109440213076,0.153121922154955,2,0.495606793957193,0.2394797591732
13,"S_k25_sparse5","null",0,0.934028769978799,0.646508488728188,2,0.572364069426101,1
14,"S_k25_sparse5","null",0,0.355920897073575,0.156859533817896,2,0.496510258667756,1
15,"S_k25_sparse5","null",0,0.0596857148336083,0.19806334597054,2,0.495360161565115,0.812208375857475
16,"S_k25_sparse5","null",0,0.274102216255656,0.35755945873518,2,0.605589840153355,1
17,"S_k25_sparse5","null",0,0.0153654928317219,0.181718043363177,2,0.499406727175506,0.591689510730245
18,"S_k25_sparse5","null",0,0.459565975587057,0.0481335663808997,2,0.599734806704491,1
19,"S_k25_sparse5","null",0,0.590835195322762,0.454892773533576,2,0.600144547085867,0.610416218064621
20,"S_k25_sparse5","null",0,0.695660787518579,0.444583698574247,2,0.626400724565683,1
21,"S_k25_sparse5","null",0,0.48208165393677,0.584284624905557,2,0.541055735356403,1
22,"S_k25_sparse5","null",0,0.96536229459893,0.509958225948375,2,0.472837929558245,0.977578507750064
23,"S_k25_sparse5","null",0,0.302447089528772,0.550549304823319,2,0.633695472683653,0.758816975106846
24,"S_k25_sparse5","null",0,0.30608181408279,0.914598653533163,2,0.576581785905274,0.780635776382909
25,"S_k25_sparse5","null",0,0.425742302854295,0.521122844030647,2,0.658048029548338,0.727978182891881
26,"S_k25_sparse5","null",0,0.532734936323153,0.586439426992298,2,0.623272021010231,1
27,"S_k25_sparse5","null",0,0.149951819617878,0.870390058737071,2,0.646120674315278,0.715282178423399
28,"S_k25_sparse5","null",0,0.694788966692005,0.416073072499322,2,0.592851560576131,1
29,"S_k25_sparse5","null",0,0.923125552523638,0.979837673410839,2,0.617414373514275,1
30,"S_k25_sparse5","null",0,0.588665379988089,0.620115199269597,2,0.67578712862338,0.925615960457013
31,"S_k25_sparse5","null",0,0.0652469517354293,0.48053163596401,2,0.492367091901694,1
32,"S_k25_sparse5","null",0,0.779950098379255,0.345315619099836,2,0.610674974955363,1
33,"S_k25_sparse5","null",0,0.327071283826894,0.156316319548093,2,0.476665767738352,0.347051293227394
34,"S_k25_sparse5","null",0,0.78984058827728,0.549171343965342,2,0.571455600011008,1
35,"S_k25_sparse5","null",0,0.0650466970451126,0.125865065797052,2,0.55878776993202,1
36,"S_k25_sparse5","null",0,0.631016266581121,0.44720892003058,2,0.60992603118509,0.643899282208737
37,"S_k25_sparse5","null",0,0.774645103907429,0.559923156021354,2,0.558846575861628,0.791402508589782
38,"S_k25_sparse5","null",0,0.460903280230357,0.821092674850983,2,0.581398639781992,0.422781857837646
39,"S_k25_sparse5","null",0,0.663671091966234,0.511042779850425,2,0.576121713837181,1
40,"S_k25_sparse5","null",0,0.537779988722404,0.975462338106752,2,0.60912765560006,0.71876585205052
41,"S_k25_sparse5","null",0,0.156428167643531,0.860448871186579,2,0.505813072827241,1
42,"S_k25_sparse5","null",0,0.325191202404844,0.661214975272674,2,0.560394200653259,0.580364791384714
43,"S_k25_sparse5","null",0,0.457506677041954,0.408271983646915,2,0.527464235476026,0.438092558952416
44,"S_k25_sparse5","null",0,0.331082958324586,0.853294408305808,2,0.577867693424901,1
45,"S_k25_sparse5","null",0,0.928750737457464,0.65773782637935,2,0.703165088750571,1
46,"S_k25_sparse5","null",0,0.30720977188118,0.440062296759818,2,0.57828740485946,1
47,"S_k25_sparse5","null",0,0.366101925895063,0.498718539614669,2,0.539503911426383,1
48,"S_k25_sparse5","null",0,0.477543221729842,0.442936557595679,2,0.54507152144852,1
49,"S_k25_sparse5","null",0,0.899700438123589,0.2573264287126,2,0.621830921607005,0.880714338689625
50,"S_k25_sparse5","null",0,0.131481891018776,0.484427333838333,2,0.587471046188139,0.816066517177189
51,"S_k25_sparse5","null",0,0.466278245341258,0.536489956212886,2,0.534851268740618,1
52,"S_k25_sparse5","null",0,0.8017965831696,0.720373888553248,2,0.464602683653098,0.68572355218919
53,"S_k25_sparse5","null",0,0.969749667289638,0.965360007756038,2,0.545134665866828,1
54,"S_k25_sparse5","null",0,0.230248375529579,0.816812441818638,2,0.540150392738662,0.571674608742524
55,"S_k25_sparse5","null",0,0.507463343951375,0.46774614310278,2,0.507470375808569,0.799967674461118
56,"S_k25_sparse5","null",0,0.122992710187865,0.654153094705552,2,0.463202386564696,1
57,"S_k25_sparse5","null",0,0.253511285735066,0.196832671044462,2,0.538876979282799,1
58,"S_k25_sparse5","null",0,0.0879159342131961,0.841075925381635,2,0.668233206353634,0.854827134132495
59,"S_k25_sparse5","null",0,0.228029634744825,0.208823651562479,2,0.624270634368219,1
60,"S_k25_sparse5","null",0,0.314579546417802,0.0915122997019283,2,0.540522259403491,0.371791908806268
61,"S_k25_sparse5","null",0,0.116446010442496,0.89122512256427,2,0.56828755344044,1
62,"S_k25_sparse5","null",0,0.200794044419152,0.280465236518641,2,0.545417536533618,0.952516235720329
63,"S_k25_sparse5","null",0,0.0215947611037198,0.8274063010551,2,0.564434093956648,0.491485863686047
64,"S_k25_sparse5","null",0,0.764396143809549,0.446656499130545,2,0.502513631832466,0.724010256599266
65,"S_k25_sparse5","null",0,0.0625460166226181,0.734975050185449,2,0.53659313505578,1
66,"S_k25_sparse5","null",0,0.498997856094701,0.485357331054898,2,0.562202070063777,0.537021951341049
67,"S_k25_sparse5","null",0,0.329550938090971,0.197923611022078,2,0.542868875860065,1
68,"S_k25_sparse5","null",0,0.323167907433085,0.827282004411986,2,0.607046563887035,1
69,"S_k25_sparse5","null",0,0.11278335953805,0.196985357818321,2,0.572674479118479,1
70,"S_k25_sparse5","null",0,0.902053030971856,0.162002974717556,2,0.633491821766402,1
71,"S_k25_sparse5","null",0,0.591848928994109,0.10755556527373,2,0.606545154545955,1
72,"S_k25_sparse5","null",0,0.12442458569678,0.66138781398811,2,0.461542100264607,0.810188446132997
73,"S_k25_sparse5","null",0,0.0402148923544943,0.511416060358069,2,0.56517794256285,0.473180960175649
74,"S_k25_sparse5","null",0,0.612527105815442,0.644716523096581,2,0.593241972790305,0.642307343252489
75,"S_k25_sparse5","null",0,0.0141767625544895,0.386748990756509,2,0.468011249489936,0.653931950520577
76,"S_k25_sparse5","null",0,0.63125946010261,0.19899966033835,2,0.524426105476896,0.886129888541051
77,"S_k25_sparse5","null",0,0.802150916147943,0.353266666336584,2,0.554260187875293,1
78,"S_k25_sparse5","null",0,0.514261500362331,0.854759728856834,2,0.578176971093308,1
79,"S_k25_sparse5","null",0,0.795351682686181,0.339928173850419,2,0.58949054105225,0.149881723602898
80,"S_k25_sparse5","null",0,0.304538497234339,0.0785748261626033,2,0.382225602051998,1
81,"S_k25_sparse5","null",0,0.869403781858162,0.615425620336804,2,0.56895347854448,0.997581815575578
82,"S_k25_sparse5","null",0,0.43977703463145,0.23938467555412,2,0.622902583949012,0.830435255426718
83,"S_k25_sparse5","null",0,0.432146718479946,0.698192453987959,2,0.639253281211486,1
84,"S_k25_sparse5","null",0,0.757137523392316,0.35956977102434,2,0.613072428972381,0.569422648948601
85,"S_k25_sparse5","null",0,0.432547096216591,0.665779705286073,2,0.618830905887234,1
86,"S_k25_sparse5","null",0,0.930835820524919,0.461204977259981,2,0.517257232526236,0.544470052640702
87,"S_k25_sparse5","null",0,0.948702879641474,0.888359465793586,2,0.617067142305487,1
88,"S_k25_sparse5","null",0,0.174407916006392,0.392533646336268,2,0.52793073183685,0.487920275860668
89,"S_k25_sparse5","null",0,0.149868880495879,0.728679350360636,2,0.599538200413706,1
90,"S_k25_sparse5","null",0,0.549644955269285,0.569822869832047,2,0.585596537178766,0.391339043918023
91,"S_k25_sparse5","null",0,0.105795835737885,0.132753927481837,2,0.528751673585643,1
92,"S_k25_sparse5","null",0,0.276903738932397,0.641713672821127,2,0.504732797481306,0.180552758005106
93,"S_k25_sparse5","null",0,0.602155202674167,0.165848365725981,2,0.567682077894102,1
94,"S_k25_sparse5","null",0,0.0401678140997939,0.477958656947622,2,0.622712193211606,1
95,"S_k25_sparse5","null",0,0.0788742605409049,0.969369377198137,2,0.589343453612174,1
96,"S_k25_sparse5","null",0,0.628105257709018,0.290067375093221,2,0.628098128792975,0.56313943064652
97,"S_k25_sparse5","null",0,0.749668307471923,0.29671069394534,2,0.527078085857915,0.514576010903003
98,"S_k25_sparse5","null",0,0.508041129254048,0.743419786794353,2,0.570213680649406,1
99,"S_k25_sparse5","null",0,0.246412970793381,0.277285745634765,2,0.611225054135879,1
100,"S_k25_sparse5","null",0,0.532776841803977,0.951577180561352,2,0.624854173882167,0.867072967201181
101,"S_k25_sparse5","null",0,0.581697879714418,0.282094554658035,2,0.564029513280944,0.883847726077494
102,"S_k25_sparse5","null",0,0.438420005106534,0.553207600709175,2,0.596170705347882,0.97406392996811
103,"S_k25_sparse5","null",0,0.326327755079097,0.615487071312572,2,0.609429803645014,0.510691568992345
104,"S_k25_sparse5","null",0,0.037770181954131,0.643789106133619,2,0.622208129839187,0.348904786279063
105,"S_k25_sparse5","null",0,0.161195946692458,0.093021582001809,2,0.485598285670856,1
106,"S_k25_sparse5","null",0,0.471105418570722,0.271784483091385,2,0.470830698281519,1
