"rep","cell","dep","rel","deg","rho_hat","calm_hl","calm_edge","calm_e3","pp_hl","pp_edge"
1,"A_p5","index",0.4,3,0.944514696754599,0.133184695598818,0.540860892204291,0.540860892204291,0.1525,0.5375
1,"A_p5","index",0.7,3,0.930187374144447,0.0174821230985831,0.230728471695769,0.230728471695769,0.0325,0.245
1,"A_p5","null",0,3,0.951977221026307,0.0156858846122858,0.618427838684048,0.618427838684048,0.03,0.615
1,"A_p5","offindex",0.4,3,0.936794129007679,0.986366061723137,0.92452945181146,0.92452945181146,0.9925,0.945
1,"A_p5","offindex",0.7,3,0.945538008441195,0.680681654738414,0.659025421669703,0.659025421669703,0.74,0.67
1,"B_p100","index",0.4,2,0.639323472378874,0.129841209348456,0.381644321612907,0.106629882533181,0.1,0.0475
1,"B_p100","index",0.7,2,0.650410658448602,0.851931742156464,0.621169115931194,0.768855084298017,0.83,0.735
1,"B_p100","null",0,2,0.674493734835543,0.123554182463541,0.985682750590479,0.269510392904675,0.0975,0.2125
1,"B_p100","offindex",0.4,2,0.61422023086411,0.923190346009148,0.984944092121529,0.834261467541363,0.9,0.7975
1,"B_p100","offindex",0.7,2,0.594927383282825,0.055579633420459,0.882768381338123,0.988211608428202,0.0425,0.985
1,"B_p160","index",0.4,2,0.588422464701994,0.889795402975946,0.372041447424253,0.581930857706283,0.84,0.525
1,"B_p160","index",0.7,2,0.530129329674081,0.497831882927731,0.13979251073689,0.476550208360254,0.34,0.3475
1,"B_p160","null",0,3,0.771874215533423,0.151476001165249,0.109882947757827,0.109882947757827,0.13,0.0875
1,"B_p160","offindex",0.4,2,0.71434228887694,0.434449353370494,0.425016493052459,0.192150715222935,0.415,0.165
1,"B_p160","offindex",0.7,2,0.518493662623212,0.610352193425257,0.394615969087049,0.574016273471945,0.53,0.525
1,"B_p40","index",0.4,2,0.619967817302999,0.600490273246108,0.7256590111308,0.940717571914478,0.615,0.92
1,"B_p40","index",0.7,2,0.592677885722552,0.795370094837158,0.927443294352035,0.808399007336691,0.75,0.775
1,"B_p40","null",0,2,0.652287384115832,0.87445219030681,0.976708649003646,0.769102863651229,0.8875,0.7525
1,"B_p40","offindex",0.4,2,0.590287392656809,0.398381702039883,0.89828482416296,0.679401758054838,0.46,0.6725
1,"B_p40","offindex",0.7,2,0.61918844114464,0.305290658658806,0.707871056273348,0.827142653875857,0.33,0.8025
10,"A_p5","index",0.4,3,0.898997559149705,0.294293455929268,0.89253959433702,0.89253959433702,0.3275,0.875
10,"A_p5","index",0.7,3,0.84247103710349,0.680296068739772,0.26804518957474,0.26804518957474,0.6225,0.23
10,"A_p5","null",0,3,0.922382147077908,0.510263672815284,0.733164275395615,0.733164275395615,0.5425,0.72
10,"A_p5","offindex",0.4,3,0.921283099179768,0.659645215547298,0.0843658737916202,0.0843658737916202,0.6675,0.1
10,"A_p5","offindex",0.7,3,0.885730467894345,0.0449447379886785,0.00101433812456342,0.00101433812456342,0.0475,0.0025
10,"B_p100","index",0.4,2,0.588382367990692,0.846874954995124,0.617864393861809,0.847431575895616,0.8025,0.785
10,"B_p100","index",0.7,2,0.408300033828794,0.974639860159399,0.854842059526001,0.980979017061947,0.965,0.9875
