"cell","S_dec","tr0","tr2","tr5","v2","a_hat","s_hat","rho_hat","c_hat","sd_eta0","sd_eh","sd_et","est_signal_sd","norm_bh","norm_bt","df_M","p0","p2","p5","pcalm"
"B_k25_ar07",4.24620627437735,6.016601487465,4.23086030542232,3.81982499604435,4.24620627437735,0.407400151785682,0.377267170346904,0.728674511355043,5.22397167371707,2.30996753037126,0.577325936465273,1.66890137973743,2.09776819429701,0.2831352639513,2.67562913855076,15.122021049075,0.005,0.045,0.06,0.05
"H3_k40_lam50",4.3909188805582,4.73465970881674,3.0753894282292,3.20635745445788,4.3909188805582,0.892915560117189,0.906902940535159,0.697753624756583,4.35123107790127,2.309414791319,1.32465227746117,2.40558753489835,3.88916219301808,1.01216570322859,3.90876762481597,64.0460388457718,0.035,0.18,0.195,0.17
"H5_k25_ar03",9.67969084052783,6.03541086929877,4.2444668974246,3.72544087287008,9.67969084052783,0.191061799066273,0.19353688160346,0.698364454027794,10.9148759741366,2.30953254127617,0.313374066278139,1.56510359512781,2.06526584205908,0.276276343985119,1.91474610550407,18.7176211100336,0.235,0.665,0.775,0.71
"H8_n800_k25",5.10757664003487,6.01344626645813,4.23602539292506,3.85796128232191,5.10757664003487,0.417846607908281,0.37709176130786,0.739804964631936,4.9620213426064,2.30945653442575,0.583210013051443,1.66574896559697,2.05918559921367,0.282964064613388,2.64932727961365,29.2683156832931,0.025,0.13,0.16,0.15
