"g","Er_rand","Er_fix","D_model","o_rr","o_rf","o_vr","o_vf"
1,-2.67718963212913,-4.36349807473462,1.68630844260549,-2.77236007187143,-2.19600353978189,0.223647720346857,0.137232530609228
2,-3.57627186982958,-3.86617089495865,0.289899025129067,-2.23212613326592,-1.67503371790667,-0.168862160173288,-0.0878559056971737
3,-0.312364316477337,-3.49132394479751,3.17895962832017,-1.68889427175247,-1.17029329630024,-0.2317713694125,-0.0981378419561846
4,-0.560510085411411,-0.751533552374798,0.191023466963388,-0.995727694363525,-0.677055548525106,-0.184105885974926,-0.0490582734812583
5,-0.333931631654311,1.85934331437788,-2.19327494603219,-0.380799897671816,-0.301028065635062,-0.0719810200055574,-0.072020395425472
6,-0.0951280750659821,-2.78023429965492,2.68510622458894,0.295217706402856,0.15686451112649,0.00733362985943116,-0.0357235340152096
7,1.17119268469509,1.22413417710613,-0.0529414924110345,1.00537917292622,0.704830356283771,0.157944888039409,0.00635296875085156
8,0.00223490889982584,3.79023401784585,-3.78799910894603,1.59449302726854,1.2052752675508,0.175618496122176,0.16177208934815
9,3.49754475634525,3.61090462179989,-0.113359865454638,2.3047960904413,1.6478643577211,0.217991092752014,0.0732652555134631
10,2.87494780989617,4.50050972667222,-1.62556191677605,2.85997204837446,2.29783821311728,-0.116261206754839,-0.0276071556809388
