"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
241,"B_p160","null",0,0,6.75816793305172e-13,1.62523347492747e-11,0,0.32763174329042,FALSE,NA,NA,0.685122840869782
242,"B_p160","null",0,0,2.25023063302994e-10,1.03027110271474e-09,0,0.831318901313035,FALSE,NA,NA,0.886832285882379
243,"B_p160","null",0,0,1.26943288148909e-11,3.18776032634839e-10,0,0.0318801538458234,FALSE,NA,NA,0.0165148235372088
244,"B_p160","null",0,0,6.62486285821218e-12,1.66892743928461e-10,0,0.0320997115374324,FALSE,NA,NA,0.375313831164981
245,"B_p160","null",0,0,4.04224103700544e-14,4.61918153500327e-12,0,0.00164468769791553,FALSE,NA,NA,1
246,"B_p160","null",0,0,3.27373924850574e-12,1.16459702475102e-10,0,0.050106393724494,FALSE,NA,NA,0.637540011090043
247,"B_p160","null",0,0,1.33268381949887e-09,6.32477757037251e-09,0,0.207006227887201,FALSE,NA,NA,0.671507620270627
248,"B_p160","null",0,0,2.32665619083313e-12,4.36379094992495e-11,0,0.161301557474249,FALSE,NA,NA,0.654248058974803
249,"B_p160","null",0,0,5.84057963842409e-11,6.7189108862548e-10,0,0.0328025282996718,FALSE,NA,NA,0.752751212235243
250,"B_p160","null",0,0,7.06480930662499e-11,1.57183311381136e-09,0,0.27238026296331,FALSE,NA,NA,0.122600267905487
251,"B_p160","null",0,0,3.10020478959869e-13,1.25558070725374e-11,0,0.0103720464041294,FALSE,NA,NA,0.411183300628654
252,"B_p160","null",0,0,1.16414266457460e-12,2.69063072464153e-11,0,0.286343153403592,FALSE,NA,NA,0.577676066694927
253,"B_p160","null",0,0,3.26841496377198e-11,1.52446673357763e-09,0,0.134290750538431,FALSE,NA,NA,0.73216552505577
254,"B_p160","null",0,0,5.0841793294295e-12,8.55765496078395e-11,0,0.0611860996809285,FALSE,NA,NA,0.719528302965119
255,"B_p160","null",0,0,9.1167136147289e-12,2.54541661687878e-10,0,0.0179270608172606,FALSE,NA,NA,0.93103574501452
256,"B_p160","null",0,0,1.97200018128618e-10,1.29171128192633e-09,0,0.0423481187635853,FALSE,NA,NA,0.646274218855987
257,"B_p160","null",0,0,1.09184200261169e-11,2.48248477857313e-10,0,0.0259504728939553,FALSE,NA,NA,0.796637168276383
258,"B_p160","null",0,0,3.83312885689116e-13,9.95258970274705e-12,0,0.231277542910497,FALSE,NA,NA,0.601577435593105
259,"B_p160","null",0,0,3.10654490252458e-11,6.9668421512745e-10,0,0.0409949652860603,FALSE,NA,NA,0.443373798773108
260,"B_p160","null",0,0,2.50364638354408e-13,1.60869194425233e-10,0,0.0554517274772704,FALSE,NA,NA,0.483058914954218
261,"B_p160","null",0,0,3.75688511032716e-11,3.07987437857718e-09,0,0.224984373852689,FALSE,NA,NA,0.403193960679038
