"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"B_p100","quadratic",1.5,0,4.01173778463992e-08,0.000909174417381209,0,0.00330590856797056,TRUE,0.163462997369595,0.038483666439395,0.1229058470008
2,"B_p100","quadratic",1.5,6.94906854836752e-08,5.75671948447203e-06,0.00212552891084659,0,7.97113500772668e-05,TRUE,0.150076193053338,0.245401741412292,0.858792915903982
3,"B_p100","quadratic",1.5,4.12737745092429e-07,1.25722667474489e-05,0.00564766352824655,0,0.143109563763536,TRUE,0.593101484907802,0.580580805111268,0.354646095794265
4,"B_p100","quadratic",1.5,8.45187697606775e-10,1.39038177344603e-06,0.00401185444013878,0,0.167812090064615,TRUE,0.523943170245707,0.947374327015102,0.146069132766668
5,"B_p100","quadratic",1.5,6.87139118937807e-08,3.26883355871486e-07,0.00744786717652331,0,0.366023479545337,TRUE,0.0138169380983868,0.00136897651852297,1
6,"B_p100","quadratic",1.5,0,3.27113572881061e-06,0.000774451886535432,0,0.00111708868703821,TRUE,0.00610913217150921,0.0245379578419007,0.0952686942640031
7,"B_p100","quadratic",1.5,4.36720925911516e-06,8.9969976300478e-06,0.00458955593048307,0,0.0271482664602088,TRUE,0.00141526766389377,0.00104207699747305,0.199277063993844
8,"B_p100","quadratic",1.5,9.66356261677959e-09,3.23069478272034e-07,0.000373461903805447,0,0.00857599200952132,TRUE,2.60426034146555e-05,1.14901391423672e-06,0.581369862822322
9,"B_p100","quadratic",1.5,1.13037142979167e-08,1.93884652890457e-07,6.56892099455516e-06,0,0.000190891219381552,TRUE,0.362820988477686,0.232134508446982,0.727067005772735
10,"B_p100","quadratic",1.5,0,0.000100519006271295,0.0015138612834755,0,6.81318380883481e-05,TRUE,0.0156824798822224,0.00180177338192689,0.057805706700887
11,"B_p100","quadratic",1.5,5.67516173122229e-06,1.16004149254725e-05,0.010380801260008,0,0.412639486340929,TRUE,0.140706861001776,0.469646173258913,0.57096353482406
12,"B_p100","quadratic",1.5,4.56737270226881e-09,1.09205694299225e-05,0.00233777751438812,0,0.157177232599805,TRUE,0.247611768170381,0.67709358288307,0.998359240495309
13,"B_p100","quadratic",1.5,2.05443313361364e-07,1.26787742231094e-07,4.2725784430514e-06,0,0.155085668794843,TRUE,0.413493791699962,0.122233021223428,0.900920483187708
14,"B_p100","quadratic",1.5,3.4209451249545e-07,3.90488702868269e-06,0.000745098369115109,0,0.0548850399335923,TRUE,0.694334713978209,0.750522709299249,0.1754070170919
15,"B_p100","quadratic",1.5,1.34576828569877e-08,1.00336645770473e-05,0.0109960085315655,0,0.000577008502567998,TRUE,0.362049304820401,0.0847435252759384,0.434843881560388
16,"B_p100","quadratic",1.5,1.3617538208166e-09,2.46597823999926e-06,0.000419882817691268,0,0.239576937113456,TRUE,0.0737210817619461,0.179221036848035,1
17,"B_p100","quadratic",1.5,0,2.4230080118662e-06,6.61769019644831e-05,0,0.00433356772385442,TRUE,0.00204250912150128,0.00130378925593844,0.856106437560415
18,"B_p100","quadratic",1.5,5.31930333114161e-08,2.64697276120924e-06,0.0202975677039176,0,0.0352897934112924,TRUE,0.0520660833874264,0.00525927554153571,0.339131210558031
19,"B_p100","quadratic",1.5,1.02954600400551e-08,8.4425041272332e-06,0.00268234547610821,0,0.0309130070519043,TRUE,0.0772660412228091,0.372357283480041,0.219417330384064
20,"B_p100","quadratic",1.5,1.94915254159156e-07,5.17528696982249e-08,0.00108259460391696,0,0.489353943422252,TRUE,0.0217840960832886,0.482869221004807,0.593273116721323
21,"B_p100","quadratic",1.5,3.93627984651701e-07,1.42855066213891e-06,0.00023272240277738,0,0.0601118167590242,TRUE,0.0150742945576318,0.00505035073401594,0.0457551760251156
22,"B_p100","quadratic",1.5,4.21603725264674e-07,5.25545882961565e-05,0.000429367037108151,0,0.0649633610266663,TRUE,0.133205432698588,0.0254171272414601,0.140976398652432
23,"B_p100","quadratic",1.5,1.54122756002018e-07,3.37714865093066e-05,0.0282953309964088,0,0.00481554197826932,TRUE,0.111765759180803,0.0406851391581161,0.401309125868666
24,"B_p100","quadratic",1.5,0,1.20283625590651e-07,1.98869282426058e-06,0,0.000338844744208281,TRUE,0.0335542614274822,0.0667568975545871,0.00933346216219522
25,"B_p100","quadratic",1.5,1.68703856440189e-07,3.27063845196544e-05,0.018913189143769,0,0.0667380294784463,TRUE,0.330577888985963,0.169932425232802,0.323281259679252
