"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"B_p100","quadratic",0.5,2.02262266935094e-08,1.31913069923225e-09,6.03633069344645e-08,0,0.039024915974157,TRUE,0.0166238848853868,0.00152557254401597,0.13634470734168
2,"B_p100","quadratic",0.5,0,2.22578317557342e-07,7.67320353559269e-07,0,0.153249260803041,TRUE,0.368775831859897,0.189431180129652,0.329389546560314
3,"B_p100","quadratic",0.5,4.84146966961418e-09,1.20437996767907e-07,9.06176753113789e-07,0,0.0472996581723171,TRUE,0.0633537028687945,0.0141015392455257,0.25892903492565
4,"B_p100","quadratic",0.5,5.55701415994037e-08,5.67755609813806e-08,1.19185478075173e-06,0,0.00653944345372454,TRUE,0.00192993365193839,0.00774526378221685,0.819345776234797
5,"B_p100","quadratic",0.5,9.0961086995911e-09,1.90604643459443e-10,7.19479018279852e-08,0,0.089498351152991,FALSE,NA,NA,0.613351866855195
6,"B_p100","quadratic",0.5,5.98474136914717e-09,1.28790207024333e-08,5.48932582399713e-08,0,0.154975927113064,TRUE,0.556463694120432,0.134094108168462,0.510099223281072
7,"B_p100","quadratic",0.5,2.2529253429493e-07,1.68383937386953e-09,1.3148083773085e-08,0,0.384858351135162,TRUE,0.00185939855323736,0.241162540889543,0.324489585249432
8,"B_p100","quadratic",0.5,3.02404574714643e-07,6.37031676433245e-08,1.47625119999658e-07,0,0.701963420002431,TRUE,0.144631955228042,0.286212007116539,1
9,"B_p100","quadratic",0.5,7.57036993093152e-08,6.28404424086922e-09,2.49200275789698e-08,0,0.108449299633162,TRUE,0.264358843646564,0.016334307778614,0.403616692709392
10,"B_p100","quadratic",0.5,4.20442573678681e-06,9.24464242775843e-08,2.6733594615712e-07,0,0.650233893017292,TRUE,0.147445759411824,0.0605083649753939,1
11,"B_p100","quadratic",0.5,0,2.87231803370357e-09,1.64346287340476e-06,0,0.15712155156636,TRUE,0.896130115390879,0.869605901177203,0.800619979554223
12,"B_p100","quadratic",0.5,0,8.31986614915253e-10,3.85187908884475e-08,0,0.0297571607423861,TRUE,0.273319078973897,0.0718788707483714,1
13,"B_p100","quadratic",0.5,3.38780509423486e-07,6.80700556238071e-08,1.28986805055875e-07,0,0.264730880149125,TRUE,0.106564599710494,0.301527815561188,0.661203932795684
14,"B_p100","quadratic",0.5,5.45791212225311e-09,3.49557316949310e-09,3.56903432829062e-08,0,0.408690439200883,TRUE,0.291814556361293,0.282944038822316,1
15,"B_p100","quadratic",0.5,2.70613844666201e-08,3.95399993239991e-08,2.52088376344338e-06,0,0.0270372668749259,TRUE,2.74865642622135e-05,5.74878295906966e-05,1
16,"B_p100","quadratic",0.5,8.52002408624486e-08,4.60147655858542e-09,2.18414350666844e-07,0,0.277382724857963,TRUE,0.219542266753974,0.246437638292801,0.185116101514789
17,"B_p100","quadratic",0.5,0,1.0512816081064e-09,4.43232743294749e-09,0,0.00267733715077247,TRUE,0.682134020808547,0.878052953988688,1
18,"B_p100","quadratic",0.5,2.07825617826174e-08,2.97874738530131e-10,4.70811055191575e-09,0,0.0151055591271379,TRUE,6.57769461329671e-05,1.77336030593445e-06,0.81817203809321
19,"B_p100","quadratic",0.5,6.36554484234608e-07,3.35781939304316e-08,8.90673159963622e-08,0,0.146390871491934,TRUE,0.0424535688488041,0.0523708000118251,0.441052820480937
20,"B_p100","quadratic",0.5,5.07927255810614e-09,1.65806225301822e-08,4.40068306731673e-08,0,0.401651766068284,TRUE,0.000297520344917812,0.000328227055378827,0.453825537299156
21,"B_p100","quadratic",0.5,6.53682885598528e-10,5.21220349713152e-09,1.79638056678292e-08,0,0.0484959358679649,TRUE,0.331366817540902,0.0616356892890431,1
22,"B_p100","quadratic",0.5,3.88702138809371e-08,1.25397135148213e-06,8.15200912299656e-07,0,0.0204529509970048,TRUE,0.0217878126655318,0.0672114487856353,0.2509063386063
23,"B_p100","quadratic",0.5,1.18699356566054e-07,2.9197818528825e-08,1.19688321182729e-07,0,0.112712783527257,TRUE,0.0534754735208176,0.254627519952586,0.116852374877543
24,"B_p100","quadratic",0.5,0,1.00304958484087e-10,8.86011408889568e-10,0,0.00862066533656475,TRUE,0.00124058745307309,0.159088287585283,1
25,"B_p100","quadratic",0.5,0,2.48957824124078e-09,1.64341301091488e-06,0,0.0270634117909993,TRUE,0.197823803956312,0.0434411043862373,0.634196401675839
26,"B_p100","quadratic",0.5,5.67528387063199e-08,6.32957473567688e-09,3.44342310757749e-06,0,0.133173869337388,TRUE,0.0224305245422736,0.0824538033901305,0.934620260133917
27,"B_p100","quadratic",0.5,0,8.20154295186467e-10,5.0203986146875e-08,0,0.0135459585473685,TRUE,0.000143215336579239,0.000298524168265368,1
28,"B_p100","quadratic",0.5,9.4280411289116e-07,1.83041471202768e-07,1.22947620540563e-05,0,0.344453954452752,TRUE,0.409805727037173,0.187514573813025,0.762758917111026
29,"B_p100","quadratic",0.5,4.65243974456797e-08,6.08899447440136e-10,6.22616542986531e-07,0,0.0362341942920177,TRUE,0.384630044890604,0.16678698554571,0.681670372350094
30,"B_p100","quadratic",0.5,1.67633311087823e-06,1.31275539409724e-07,1.14861697892474e-06,0,0.0211795545399528,TRUE,0.0678957233980507,0.0648058126897156,0.397139052877812
31,"B_p100","quadratic",0.5,0,1.71232907584414e-08,1.57411103677557e-06,0,0.044352455527822,TRUE,0.00410437475058179,0.0922475327449546,0.264510966141399
32,"B_p100","quadratic",0.5,1.48706541525101e-08,3.49046334192068e-09,1.17488249081668e-08,0,0.320924769320672,TRUE,0.724159772126591,0.116177816912503,0.124651511875323
33,"B_p100","quadratic",0.5,0,2.49690171630587e-08,3.52686103405587e-08,0,0.13567504544386,TRUE,0.0786590622691075,0.00959011304481872,1
34,"B_p100","quadratic",0.5,0,1.16951871624102e-06,1.75637097991828e-06,0,0.0709623225840188,TRUE,0.0176671403249811,0.000492335734021188,0.286245112938189
35,"B_p100","quadratic",0.5,0,9.11313001627221e-09,5.98836521737107e-07,0,0.244728136795584,TRUE,0.622332302501915,0.41671230872707,0.429502940374106
36,"B_p100","quadratic",0.5,5.93048943287044e-08,3.37038101518875e-09,3.98209908798493e-05,0,0.165665758718592,TRUE,0.113782790993715,0.00531028884005347,1
37,"B_p100","quadratic",0.5,9.04445014437982e-08,1.3101577615269e-08,3.67000251601254e-07,0,0.493989061974441,TRUE,0.306209892673472,0.936879816522113,0.841931819819368
38,"B_p100","quadratic",0.5,2.02018412664984e-06,3.51742738576622e-06,8.41163362462205e-06,0,0.0719156415109847,TRUE,0.800918722521196,0.427669608911624,0.172027321517207
39,"B_p100","quadratic",0.5,1.51406438275714e-07,8.90752461150542e-09,2.089625940764e-08,0,0.328030317802189,TRUE,0.055115670246767,0.404612406317343,0.769856486637596
40,"B_p100","quadratic",0.5,0,3.02942895002417e-11,3.29446622332971e-10,0,0.00890332968257612,TRUE,0.0398513160903285,0.0104447566599981,1
41,"B_p100","quadratic",0.5,3.76285204106708e-07,1.83917821935097e-07,2.35894151127575e-07,0,0.154583450751897,TRUE,0.195549403794792,0.295630193260586,1
42,"B_p100","quadratic",0.5,0,5.20228936794841e-11,2.49170146568147e-09,0,0.050654522033002,TRUE,0.950783468869484,0.714959511011511,0.133205294343174
