"rep","cell","dep","rel","unc_hl","calslope","spieg","uss","cvhl","mle_ok","mle_hl","mle_edge","grp"
1,"B_p100","quadratic",1,6.01314487091997e-09,1.77398055484822e-09,3.69032422930484e-05,0,0.061971304495859,TRUE,0.00578445410804695,0.0683454925119241,0.143672457528245
2,"B_p100","quadratic",1,0,1.18554275036132e-07,5.44679450043588e-05,0,0.00199792542036703,TRUE,0.00169240314726538,0.554714132125318,1
3,"B_p100","quadratic",1,1.17520992826137e-07,3.25249754211924e-06,0.000194143397029774,0,0.00127524649816733,TRUE,6.0550063808007e-05,7.90408788309271e-06,0.0907685714290953
4,"B_p100","quadratic",1,2.28530731005705e-08,7.6088388552187e-06,0.00147402744360818,0,0.0190392406383649,TRUE,0.29369269238825,0.270163254092221,0.189342825135195
5,"B_p100","quadratic",1,1.26900048335044e-05,9.00153114868248e-07,0.00033924101652443,0,0.308404165988233,TRUE,0.464510406372781,0.233047437948813,0.909813105216652
6,"B_p100","quadratic",1,4.31023787106355e-07,2.44751422708708e-07,5.93732150887067e-06,0,0.251366712471582,TRUE,0.456988828367384,0.608732759820629,0.127721605967168
7,"B_p100","quadratic",1,2.47441132250614e-07,6.27470647619311e-07,8.76123026050603e-05,0,0.0604269921956678,TRUE,0.0982455936766249,0.0107487105858034,0.367432740346448
8,"B_p100","quadratic",1,2.77986727970081e-07,1.2045495045677e-07,5.13751802646472e-06,0,0.0201642212824429,TRUE,0.779516135336016,0.836418496078429,0.974107158593928
9,"B_p100","quadratic",1,0,2.12817092650233e-07,3.64634029563007e-06,0,0.000936486245620402,TRUE,0.293700309391355,0.781175378759481,0.967800409268025
10,"B_p100","quadratic",1,1.17909365870972e-06,5.83996953698126e-07,1.77832888171095e-05,0,0.165574437876088,TRUE,0.012845695028007,0.110102359799485,0.212760817485459
11,"B_p100","quadratic",1,1.35434998660422e-07,1.6300572769939e-07,2.05704053312055e-05,0,0.0948944468132205,TRUE,0.00485822020443216,0.000662782657072425,1
12,"B_p100","quadratic",1,5.33257272783416e-08,3.8186096003534e-08,1.44455529985008e-05,0,0.586418407149195,TRUE,0.432734712508562,0.151284576542704,0.18230981882645
13,"B_p100","quadratic",1,6.01020833101984e-09,1.60880578109261e-08,1.23702005406171e-07,0,0.242732728542852,TRUE,0.179117867120509,0.569656468630766,0.897134283571261
14,"B_p100","quadratic",1,2.33982367370267e-08,1.21408332581809e-06,3.68099811975924e-05,0,0.394991530968672,TRUE,0.132791660525057,0.0774950533181926,0.721341201470826
15,"B_p100","quadratic",1,0,2.17594633160038e-07,0.000462710854977621,0,0.0497310231921335,TRUE,0.000110631723643229,0.0002392222891201,0.153336345328472
16,"B_p100","quadratic",1,4.75110484288166e-09,6.07069747992014e-08,3.93677613227007e-06,0,0.164835514523126,TRUE,0.149536787032345,0.200266358839263,0.13222497448984
17,"B_p100","quadratic",1,1.32966238908239e-07,2.42087360293838e-08,2.42495292104906e-07,0,0.114166473251893,TRUE,0.00294663911769077,0.000433361677194655,1
18,"B_p100","quadratic",1,1.07210279542969e-08,3.93104641055606e-06,0.00122651798130481,0,0.0185177015353745,TRUE,0.000124761245576033,4.27322446969747e-05,0.0662461343537371
19,"B_p100","quadratic",1,8.02252055898123e-08,3.11701804967015e-07,3.53251723059278e-05,0,0.476322518368298,TRUE,0.624926781893338,0.320331132849994,0.0948041190193618
20,"B_p100","quadratic",1,4.00884974549598e-07,2.91178656021132e-07,3.11726788368336e-05,0,0.111345238991065,TRUE,0.10468944170477,0.0521388684552425,0.25018212519955
