"rep","cell","dep","rel","deg","rho_hat","cf_hl","cf_ad","cf_e3","pp_hl","pp_edge"
1,"B_p160","offindex",1,1,0.490752304841629,0.39631948893384,0.70675612442554,0.398231291744509,0.326666666666667,0.37
2,"B_p160","offindex",1,1,0.664247367582745,0.538617652014901,0.532778067737774,0.951362226972977,0.356666666666667,0.923333333333333
3,"B_p160","offindex",1,2,0.681833151894094,0.30977814293928,0.962143096418175,0.913267308001357,0.183333333333333,0.88
4,"B_p160","offindex",1,1,0.575365753884128,0.411452961958087,0.102378563028486,0.3280507066003,0.263333333333333,0.186666666666667
5,"B_p160","offindex",1,2,0.692582040054374,0.143961112617399,0.126812643315092,0.321138223019811,0.08,0.23
6,"B_p160","offindex",1,1,0.596679117526445,0.287814804259837,0.638205203581809,0.654882032507699,0.223333333333333,0.623333333333333
7,"B_p160","offindex",1,1,0.517954270002607,0.732422522316701,0.693675747344672,0.940086711280503,0.576666666666667,0.86
8,"B_p160","offindex",1,1,0.634341543545215,0.0104214153675366,0.041956012329271,0.0655068724833403,0.0133333333333333,0.04
9,"B_p160","offindex",1,2,0.705240697788295,0.580965856825664,0.828167194933504,0.97019739050339,0.433333333333333,0.943333333333333
10,"B_p160","offindex",1,2,0.75822420924253,0.554742114456894,0.540168635265784,0.53171231956862,0.43,0.463333333333333
11,"B_p160","offindex",1,1,0.652703440224629,0.874051482303446,0.0998765623553115,0.882488278871521,0.813333333333333,0.883333333333333
12,"B_p160","offindex",1,1,0.559953484788434,0.375593536672795,0.558616036677165,0.32609783252596,0.24,0.24
13,"B_p160","offindex",1,3,0.786358250547992,0.792529556671895,0.679080695710196,0.679080695710196,0.73,0.706666666666667
14,"B_p160","offindex",1,1,0.667250062568708,0.416050124934319,0.655372475273434,0.149308154120168,0.26,0.106666666666667
15,"B_p160","offindex",1,1,0.434182309738425,0.254271556473976,0.807371645813361,0.322546917800068,0.166666666666667,0.203333333333333
16,"B_p160","offindex",1,1,0.636705136113318,0.848125116964153,0.804485663493932,0.308602070607541,0.81,0.243333333333333
17,"B_p160","offindex",1,1,0.448220955418206,0.414628177432703,0.133168104919421,0.861603512133614,0.32,0.813333333333333
18,"B_p160","offindex",1,1,0.593813030331213,0.987314032907127,0.347028014490732,0.74849618740543,0.98,0.756666666666667
19,"B_p160","offindex",1,1,0.449567649694622,0.439471285266473,0.20686122565488,0.627118215707177,0.336666666666667,0.616666666666667
